,Country Code,region,Variant,Location,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
0,4,Asia,Estimates,Afghanistan,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.4689,7.482,7.6537,7.1816,6.3712,5.2552
1,8,Europe,Estimates,Albania,6.23,6.5462,6.23,5.259,4.6001,3.9,3.409,3.15,2.786,2.3841,1.9465,1.64,1.7135
2,12,Africa,Estimates,Algeria,7.278,7.384,7.648,7.648,7.572,7.175,6.315,5.302,4.12,2.885,2.3843,2.724,2.96
3,24,Africa,Estimates,Angola,7.3,7.35,7.6,7.6,7.6,7.6,7.4,7.35,7.1,6.75,6.55,6.35,5.95
4,28,Americas,Estimates,Antigua and Barbuda,4.5,4.5,4.3,4.0,3.2617,2.2357,2.1392,2.0708,2.0938,2.3125,2.2714,2.1694,2.0963
5,32,Americas,Estimates,Argentina,3.154,3.1265,3.0895,3.049,3.1455,3.44,3.15,3.053,2.9,2.63,2.515,2.4,2.345
6,51,Asia,Estimates,Armenia,4.494,4.9,4.453,3.447,3.037,2.6,2.5,2.6,2.38,1.75,1.65,1.72,1.65
7,533,Americas,Estimates,Aruba,5.65,5.15,4.399,3.301,2.651,2.45,2.358,2.3,2.1739,1.9531,1.8162,1.76,1.8
8,36,Oceania,Estimates,Australia,3.18,3.406,3.274,2.871,2.535,1.989,1.91,1.859,1.8628,1.7866,1.7739,1.9525,1.885
9,40,Europe,Estimates,Austria,2.1046,2.5652,2.7777,2.5689,2.0369,1.6513,1.5957,1.448,1.4837,1.3879,1.3796,1.3993,1.4488
10,31,Asia,Estimates,Azerbaijan,5.2,5.6,6.0,5.4,4.6,3.8,3.3,3.2,2.9,2.25,1.9,1.83,2.1
11,44,Americas,Estimates,Bahamas,4.05,4.31,4.5,3.5756,3.5367,2.9547,3.0503,2.6498,2.6376,2.3275,1.8653,1.9076,1.81
12,48,Asia,Estimates,Bahrain,6.97,6.97,7.17,6.97,5.95,5.23,4.63,4.08,3.4,2.95,2.65,2.25,2.12
13,50,Asia,Estimates,Bangladesh,6.359,6.6225,6.804,6.9206,6.9098,6.6301,5.9773,4.9834,4.0603,3.4325,2.9364,2.4811,2.2208
14,52,Americas,Estimates,Barbados,4.417,4.2969,4.2731,3.5328,2.7176,2.1568,1.9181,1.7744,1.73,1.74,1.75,1.77,1.79
15,112,Europe,Estimates,Belarus,2.61,2.73,2.59,2.28,2.25,2.09,2.088,2.0754,1.6769,1.3113,1.2551,1.4268,1.64
16,56,Europe,Estimates,Belgium,2.365,2.496,2.6466,2.3881,2.0143,1.7049,1.5959,1.56,1.6119,1.6041,1.6836,1.821,1.7807
17,84,Americas,Estimates,Belize,6.65,6.55,6.45,6.35,6.25,6.2,5.4,4.7,4.347,3.85,3.35,2.84,2.64
18,204,Africa,Estimates,Benin,5.857,6.1341,6.4228,6.6491,6.8349,6.9952,7.0087,6.8818,6.5629,6.1566,5.7841,5.4949,5.2202
19,64,Asia,Estimates,Bhutan,6.67,6.67,6.67,6.67,6.67,6.67,6.3885,6.1064,5.0703,4.1287,3.1436,2.6187,2.2
20,68,Americas,Estimates,Bolivia (Plurinational State of),6.89,6.772,6.614,6.409,6.15,5.89,5.514,5.085,4.7039,4.2892,3.8184,3.3907,3.0424
