,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,4,Asia,High variant,Afghanistan,4.6617,4.113,3.6889,3.3187,3.0582,2.8579,2.6962,2.5667,2.4641,2.3841,2.3283,2.2889,2.2627,2.2486,2.2431,2.2404,2.2412
1,8,Europe,High variant,Albania,1.9546,2.0978,2.1957,2.1955,2.1989,2.2037,2.2121,2.2201,2.2292,2.2385,2.247,2.2546,2.2625,2.2698,2.2776,2.2839,2.2884
2,12,Africa,High variant,Algeria,2.8998,2.8421,2.7913,2.6758,2.5912,2.5265,2.4784,2.4428,2.4159,2.3969,2.3836,2.3739,2.3663,2.361,2.3577,2.3565,2.3551
3,24,Africa,High variant,Angola,5.8392,5.6424,5.4107,5.0975,4.8087,4.5418,4.2981,4.0796,3.8847,3.7131,3.5619,3.4259,3.3053,3.1988,3.1,3.0095,2.9244
4,28,Americas,High variant,Antigua and Barbuda,2.2842,2.3848,2.4426,2.4044,2.3746,2.3521,2.3364,2.3256,2.3177,2.3129,2.3118,2.3096,2.3101,2.3105,2.3112,2.3126,2.3145
5,32,Americas,High variant,Argentina,2.5183,2.5956,2.6289,2.5681,2.5139,2.4681,2.4323,2.4019,2.3781,2.3619,2.3482,2.3403,2.3333,2.3269,2.324,2.3212,2.3198
6,51,Asia,High variant,Armenia,1.851,1.9814,2.0892,2.1041,2.1215,2.1404,2.1592,2.1769,2.1926,2.2086,2.2239,2.2359,2.2469,2.2572,2.2663,2.2723,2.2798
7,533,Americas,High variant,Aruba,2.0455,2.1918,2.2893,2.2895,2.2906,2.2927,2.296,2.2992,2.302,2.3044,2.3073,2.3111,2.3154,2.3168,2.3192,2.321,2.3237
8,36,Oceania,High variant,Australia,2.0816,2.2018,2.2845,2.2705,2.2647,2.262,2.2627,2.263,2.2664,2.2715,2.276,2.2819,2.2859,2.2906,2.2946,2.2985,2.3033
9,40,Europe,High variant,Austria,1.7606,1.9605,2.1009,2.1339,2.1614,2.1847,2.2035,2.2204,2.2334,2.2453,2.2542,2.2637,2.2704,2.2768,2.2823,2.287,2.2895
10,31,Asia,High variant,Azerbaijan,2.2858,2.3817,2.4366,2.4014,2.3718,2.3502,2.3347,2.3231,2.314,2.3104,2.3088,2.308,2.3097,2.3118,2.3123,2.3129,2.3161
11,44,Americas,High variant,Bahamas,2.0051,2.1221,2.2086,2.2015,2.2028,2.2065,2.2132,2.2208,2.228,2.237,2.2459,2.2532,2.2606,2.2682,2.2745,2.2801,2.285
12,48,Asia,High variant,Bahrain,2.2482,2.2904,2.3041,2.2404,2.1933,2.168,2.1572,2.1559,2.1644,2.1744,2.1883,2.2024,2.2143,2.2282,2.2392,2.2506,2.2588
13,50,Asia,High variant,Bangladesh,2.3173,2.338,2.3367,2.2584,2.202,2.1733,2.1591,2.1562,2.1634,2.1751,2.1904,2.2036,2.2162,2.229,2.2401,2.2512,2.2614
14,52,Americas,High variant,Barbados,2.0491,2.2056,2.3118,2.3164,2.3211,2.3259,2.329,2.3331,2.3345,2.3377,2.3391,2.3416,2.3428,2.3432,2.3443,2.3448,2.3455
15,112,Europe,High variant,Belarus,1.9562,2.1526,2.2862,2.3109,2.3296,2.3432,2.3547,2.3618,2.3673,2.3734,2.3765,2.3799,2.3814,2.3837,2.3864,2.3851,2.3882
16,56,Europe,High variant,Belgium,2.0488,2.2123,2.3241,2.331,2.3393,2.3458,2.3498,2.3547,2.357,2.3595,2.3613,2.3636,2.3641,2.3664,2.3668,2.3673,2.3679
17,84,Americas,High variant,Belize,2.709,2.7133,2.6921,2.5921,2.5088,2.4397,2.3848,2.3412,2.3119,2.2898,2.2764,2.2684,2.264,2.2643,2.2658,2.2681,2.271
18,204,Africa,High variant,Benin,5.1175,4.9403,4.743,4.4717,4.233,4.0197,3.8313,3.6671,3.5204,3.3952,3.2764,3.172,3.0757,2.9898,2.9055,2.8247,2.7525
19,64,Asia,High variant,Bhutan,2.2654,2.2691,2.2611,2.1832,2.1369,2.1186,2.1202,2.1315,2.1483,2.1658,2.1835,2.201,2.2173,2.2319,2.2436,2.2538,2.264
20,68,Americas,High variant,Bolivia (Plurinational State of),3.0754,3.0465,3.0029,2.8828,2.7806,2.6902,2.6122,2.5443,2.4878,2.4406,2.4035,2.3732,2.3513,2.3344,2.3211,2.3121,2.3047
21,70,Europe,High variant,Bosnia and Herzegovina,1.6358,1.8482,2.002,2.0482,2.0887,2.1213,2.1495,2.1743,2.1957,2.2127,2.2273,2.2401,2.251,2.2603,2.2682,2.2754,2.2809
22,72,Africa,High variant,Botswana,2.9014,2.8717,2.8285,2.7062,2.6015,2.5182,2.4504,2.3978,2.3601,2.332,2.3134,2.3026,2.2985,2.2955,2.294,2.2947,2.2972
23,76,Americas,High variant,Brazil,1.9548,2.0496,2.1196,2.1096,2.1108,2.1185,2.1344,2.1497,2.1663,2.1835,2.1985,2.214,2.2282,2.2393,2.2486,2.259,2.2675
24,96,Asia,High variant,Brunei Darussalam,2.0982,2.2016,2.2643,2.2398,2.2225,2.2134,2.2134,2.2144,2.2203,2.2262,2.2352,2.2439,2.2533,2.26,2.2674,2.2743,2.2803
25,100,Europe,High variant,Bulgaria,1.8341,2.0423,2.1875,2.2214,2.2488,2.2705,2.2873,2.3007,2.311,2.3196,2.3265,2.3315,2.336,2.3391,2.3418,2.3439,2.3465
26,854,Africa,High variant,Burkina Faso,5.4815,5.2337,4.9666,4.6267,4.3234,4.054,3.8188,3.621,3.4441,3.2973,3.1709,3.0581,2.9579,2.8674,2.7792,2.7026,2.6352
27,108,Africa,High variant,Burundi,5.8273,5.581,5.3075,4.9621,4.65,4.3653,4.1134,3.8978,3.7065,3.5383,3.3942,3.2668,3.1538,3.0448,2.9519,2.862,2.7826
28,132,Africa,High variant,Cabo Verde,2.5385,2.5352,2.5162,2.424,2.3538,2.3009,2.2639,2.2401,2.2291,2.226,2.2254,2.2283,2.2355,2.2417,2.2495,2.2567,2.2641
29,116,Asia,High variant,Cambodia,2.7738,2.7815,2.7669,2.6706,2.5885,2.5171,2.4574,2.41,2.372,2.3416,2.3215,2.3049,2.2937,2.2873,2.2837,2.2808,2.2806
30,120,Africa,High variant,Cameroon,4.853,4.6878,4.5004,4.2492,4.0251,3.8329,3.6632,3.5121,3.3775,3.2612,3.1588,3.0602,2.9689,2.8845,2.8066,2.7345,2.6679
31,124,Americas,High variant,Canada,1.8133,1.9574,2.0765,2.0977,2.1212,2.1422,2.163,2.1834,2.1997,2.2152,2.2292,2.2421,2.2514,2.2606,2.2682,2.2752,2.2831
32,140,Africa,High variant,Central African Republic,5.0041,4.7878,4.5226,4.1822,3.8648,3.5969,3.3722,3.1849,3.0318,2.9049,2.8013,2.7104,2.6314,2.568,2.5155,2.4748,2.4381
