,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,4,Asia,Instant-replacement,Afghanistan,2.29778,2.25488,2.221615,2.195765,2.17671,2.160695,2.14895,2.13983,2.131255,2.125165,2.120225,2.11561,2.11161,2.108535,2.10578,2.10308,2.100535
1,8,Europe,Instant-replacement,Albania,2.11816,2.10922,2.099895,2.09152,2.083445,2.075865,2.07107,2.069225,2.06756,2.06605,2.06469,2.063465,2.062285,2.0612,2.060245,2.059485,2.05882
2,12,Africa,Instant-replacement,Algeria,2.128155,2.11551,2.105605,2.09869,2.09284,2.08802,2.08392,2.080335,2.07726,2.074655,2.07235,2.0704,2.068625,2.067045,2.065605,2.064325,2.063175
3,24,Africa,Instant-replacement,Angola,2.326775,2.288315,2.255485,2.227245,2.203435,2.183635,2.166665,2.153305,2.14341,2.134545,2.12666,2.12096,2.1158,2.11089,2.1066,2.102885,2.099525
4,28,Americas,Instant-replacement,Antigua and Barbuda,2.061535,2.05875,2.0567,2.05481,2.0531,2.051475,2.050025,2.048665,2.04743,2.046275,2.045245,2.044305,2.04343,2.04251,2.041705,2.040935,2.040235
5,32,Americas,Instant-replacement,Argentina,2.08241,2.078805,2.07556,2.072665,2.070045,2.067635,2.065425,2.063365,2.0616,2.059955,2.05841,2.057025,2.055665,2.05441,2.05324,2.052145,2.0512
6,51,Asia,Instant-replacement,Armenia,2.165965,2.151635,2.137805,2.125055,2.1126,2.10039,2.088285,2.08687,2.08557,2.084435,2.083265,2.082365,2.08144,2.080685,2.07984,2.0791,2.07839
7,533,Americas,Instant-replacement,Aruba,2.095735,2.093795,2.091365,2.088935,2.08664,2.0845,2.08249,2.080555,2.078715,2.07694,2.075255,2.073725,2.072235,2.07087,2.069505,2.06829,2.067105
8,36,Oceania,Instant-replacement,Australia,2.07274,2.07128,2.069845,2.068425,2.06714,2.065875,2.064715,2.06361,2.06257,2.06165,2.0608,2.060025,2.05928,2.058615,2.05806,2.057545,2.057065
9,40,Europe,Instant-replacement,Austria,2.06802,2.066935,2.065835,2.064845,2.06391,2.06307,2.062245,2.061525,2.06085,2.060245,2.059685,2.059165,2.05868,2.05828,2.05786,2.057505,2.057165
10,31,Asia,Instant-replacement,Azerbaijan,2.204825,2.190225,2.17256,2.15571,2.13977,2.124535,2.109895,2.10626,2.103505,2.101055,2.098765,2.096605,2.094645,2.092865,2.091125,2.089545,2.0881
11,44,Americas,Instant-replacement,Bahamas,2.109615,2.106465,2.10373,2.10101,2.098435,2.0959,2.093455,2.09115,2.088975,2.08689,2.085085,2.083355,2.08172,2.08018,2.078695,2.077335,2.07606
12,48,Asia,Instant-replacement,Bahrain,2.063165,2.06302,2.0608,2.05926,2.05789,2.05673,2.05565,2.054675,2.053815,2.052975,2.052305,2.051625,2.0511,2.05058,2.05009,2.04965,2.049225
13,50,Asia,Instant-replacement,Bangladesh,2.1456,2.129305,2.11727,2.10803,2.100785,2.095865,2.091595,2.088035,2.084835,2.08195,2.079525,2.07754,2.07565,2.07392,2.072345,2.070965,2.06951
14,52,Americas,Instant-replacement,Barbados,2.070185,2.067725,2.06527,2.063395,2.06174,2.060115,2.058615,2.05729,2.05607,2.054945,2.053905,2.053025,2.05221,2.051475,2.050765,2.05005,2.04936
15,112,Europe,Instant-replacement,Belarus,2.083255,2.08208,2.08071,2.079375,2.07805,2.076775,2.075545,2.074385,2.07328,2.07234,2.07143,2.070685,2.06998,2.06932,2.068725,2.06814,2.067615
16,56,Europe,Instant-replacement,Belgium,2.06618,2.064615,2.06319,2.06197,2.06078,2.05976,2.05886,2.058015,2.05721,2.056535,2.055885,2.055275,2.05473,2.05421,2.053755,2.053305,2.052945
17,84,Americas,Instant-replacement,Belize,2.085165,2.076025,2.07099,2.066825,2.06338,2.060475,2.058025,2.055975,2.054135,2.052745,2.051385,2.050195,2.049065,2.047995,2.047105,2.04617,2.045325
18,204,Africa,Instant-replacement,Benin,2.390785,2.35429,2.322475,2.29431,2.27062,2.250215,2.231095,2.214305,2.20029,2.18727,2.175025,2.16429,2.154565,2.14604,2.13802,2.130445,2.125135
19,64,Asia,Instant-replacement,Bhutan,2.17087,2.145595,2.126775,2.11625,2.1078,2.100995,2.095305,2.090425,2.086635,2.08318,2.08016,2.077445,2.074895,2.07254,2.07037,2.068325,2.066705
20,68,Americas,Instant-replacement,Bolivia (Plurinational State of),2.24058,2.203875,2.17939,2.16051,2.145415,2.13333,2.123435,2.11583,2.109225,2.103545,2.09858,2.094055,2.09002,2.086465,2.08328,2.08043,2.07783
21,70,Europe,Instant-replacement,Bosnia and Herzegovina,2.08328,2.07362,2.07164,2.069885,2.06832,2.06689,2.06559,2.064395,2.06344,2.062565,2.06173,2.060965,2.060245,2.059585,2.058965,2.058365,2.05803
22,72,Africa,Instant-replacement,Botswana,2.17246,2.14305,2.124075,2.11292,2.1056,2.099295,2.093555,2.087745,2.0822,2.07728,2.073845,2.0709,2.068155,2.065555,2.063175,2.060875,2.05874
23,76,Americas,Instant-replacement,Brazil,2.097275,2.092285,2.08792,2.084195,2.08104,2.07819,2.075735,2.07365,2.07179,2.070065,2.06845,2.06701,2.06561,2.064365,2.063165,2.06209,2.061125
24,96,Asia,Instant-replacement,Brunei Darussalam,2.0858,2.08309,2.081075,2.07934,2.077765,2.076355,2.07507,2.07386,2.07277,2.07189,2.071095,2.0703,2.069585,2.068875,2.06821,2.06758,2.066975
25,100,Europe,Instant-replacement,Bulgaria,2.089305,2.087495,2.08583,2.084435,2.08308,2.08167,2.080385,2.079165,2.07801,2.076945,2.075955,2.07507,2.07424,2.073525,2.072895,2.072275,2.071635
