,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,4,Asia,Low variant,Afghanistan,4.1617,3.313,2.6889,2.3187,2.0582,1.8579,1.6962,1.5667,1.4641,1.3841,1.3283,1.2889,1.2627,1.2486,1.2431,1.2404,1.2412
1,8,Europe,Low variant,Albania,1.4546,1.2978,1.1957,1.1955,1.1989,1.2037,1.2121,1.2201,1.2292,1.2385,1.247,1.2546,1.2625,1.2698,1.2776,1.2839,1.2884
2,12,Africa,Low variant,Algeria,2.3998,2.0421,1.7913,1.6758,1.5912,1.5265,1.4784,1.4428,1.4159,1.3969,1.3836,1.3739,1.3663,1.361,1.3577,1.3565,1.3551
3,24,Africa,Low variant,Angola,5.3392,4.8424,4.4107,4.0975,3.8087,3.5418,3.2981,3.0796,2.8847,2.7131,2.5619,2.4259,2.3053,2.1988,2.1,2.0095,1.9244
4,28,Americas,Low variant,Antigua and Barbuda,1.7842,1.5848,1.4426,1.4044,1.3746,1.3521,1.3364,1.3256,1.3177,1.3129,1.3118,1.3096,1.3101,1.3105,1.3112,1.3126,1.3145
5,32,Americas,Low variant,Argentina,2.0183,1.7956,1.6289,1.5681,1.5139,1.4681,1.4323,1.4019,1.3781,1.3619,1.3482,1.3403,1.3333,1.3269,1.324,1.3212,1.3198
6,51,Asia,Low variant,Armenia,1.351,1.1814,1.0892,1.1041,1.1215,1.1404,1.1592,1.1769,1.1926,1.2086,1.2239,1.2359,1.2469,1.2572,1.2663,1.2723,1.2798
7,533,Americas,Low variant,Aruba,1.5455,1.3918,1.2893,1.2895,1.2906,1.2927,1.296,1.2992,1.302,1.3044,1.3073,1.3111,1.3154,1.3168,1.3192,1.321,1.3237
8,36,Oceania,Low variant,Australia,1.5816,1.4018,1.2845,1.2705,1.2647,1.262,1.2627,1.263,1.2664,1.2715,1.276,1.2819,1.2859,1.2906,1.2946,1.2985,1.3033
9,40,Europe,Low variant,Austria,1.2606,1.1605,1.1009,1.1339,1.1614,1.1847,1.2035,1.2204,1.2334,1.2453,1.2542,1.2637,1.2704,1.2768,1.2823,1.287,1.2895
10,31,Asia,Low variant,Azerbaijan,1.7858,1.5817,1.4366,1.4014,1.3718,1.3502,1.3347,1.3231,1.314,1.3104,1.3088,1.308,1.3097,1.3118,1.3123,1.3129,1.3161
11,44,Americas,Low variant,Bahamas,1.5051,1.3221,1.2086,1.2015,1.2028,1.2065,1.2132,1.2208,1.228,1.237,1.2459,1.2532,1.2606,1.2682,1.2745,1.2801,1.285
12,48,Asia,Low variant,Bahrain,1.7482,1.4904,1.3041,1.2404,1.1933,1.168,1.1572,1.1559,1.1644,1.1744,1.1883,1.2024,1.2143,1.2282,1.2392,1.2506,1.2588
13,50,Asia,Low variant,Bangladesh,1.8173,1.538,1.3367,1.2584,1.202,1.1733,1.1591,1.1562,1.1634,1.1751,1.1904,1.2036,1.2162,1.229,1.2401,1.2512,1.2614
