,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,4,Asia,No change,Afghanistan,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552,5.2552
1,8,Europe,No change,Albania,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135,1.7135
2,12,Africa,No change,Algeria,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96
3,24,Africa,No change,Angola,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
4,28,Americas,No change,Antigua and Barbuda,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963,2.0963
5,32,Americas,No change,Argentina,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345,2.345
6,51,Asia,No change,Armenia,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
7,533,Americas,No change,Aruba,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
8,36,Oceania,No change,Australia,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885,1.885
9,40,Europe,No change,Austria,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488,1.4488
10,31,Asia,No change,Azerbaijan,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
11,44,Americas,No change,Bahamas,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
12,48,Asia,No change,Bahrain,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12
13,50,Asia,No change,Bangladesh,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208,2.2208
14,52,Americas,No change,Barbados,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
15,112,Europe,No change,Belarus,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
16,56,Europe,No change,Belgium,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807,1.7807
17,84,Americas,No change,Belize,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64
18,204,Africa,No change,Benin,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202,5.2202
19,64,Asia,No change,Bhutan,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
20,68,Americas,No change,Bolivia (Plurinational State of),3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424,3.0424
21,70,Europe,No change,Bosnia and Herzegovina,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314
22,72,Africa,No change,Botswana,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875,2.875
23,76,Americas,No change,Brazil,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
24,96,Asia,No change,Brunei Darussalam,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
25,100,Europe,No change,Bulgaria,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506,1.506
26,854,Africa,No change,Burkina Faso,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462,5.6462
