,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
0,4,Asia,Zero-migration,Afghanistan,4.4117,3.713,3.1889,2.8187,2.5582,2.3579,2.1962,2.0667,1.9641,1.8841,1.8283,1.7889,1.7627,1.7486,1.7431,1.7404,1.7412
1,8,Europe,Zero-migration,Albania,1.7046,1.6978,1.6957,1.6955,1.6989,1.7037,1.7121,1.7201,1.7292,1.7385,1.747,1.7546,1.7625,1.7698,1.7776,1.7839,1.7884
2,12,Africa,Zero-migration,Algeria,2.6498,2.4421,2.2913,2.1758,2.0912,2.0265,1.9784,1.9428,1.9159,1.8969,1.8836,1.8739,1.8663,1.861,1.8577,1.8565,1.8551
3,24,Africa,Zero-migration,Angola,5.5892,5.2424,4.9107,4.5975,4.3087,4.0418,3.7981,3.5796,3.3847,3.2131,3.0619,2.9259,2.8053,2.6988,2.6,2.5095,2.4244
4,28,Americas,Zero-migration,Antigua and Barbuda,2.0342,1.9848,1.9426,1.9044,1.8746,1.8521,1.8364,1.8256,1.8177,1.8129,1.8118,1.8096,1.8101,1.8105,1.8112,1.8126,1.8145
5,32,Americas,Zero-migration,Argentina,2.2683,2.1956,2.1289,2.0681,2.0139,1.9681,1.9323,1.9019,1.8781,1.8619,1.8482,1.8403,1.8333,1.8269,1.824,1.8212,1.8198
6,51,Asia,Zero-migration,Armenia,1.601,1.5814,1.5892,1.6041,1.6215,1.6404,1.6592,1.6769,1.6926,1.7086,1.7239,1.7359,1.7469,1.7572,1.7663,1.7723,1.7798
7,533,Americas,Zero-migration,Aruba,1.7955,1.7918,1.7893,1.7895,1.7906,1.7927,1.796,1.7992,1.802,1.8044,1.8073,1.8111,1.8154,1.8168,1.8192,1.821,1.8237
8,36,Oceania,Zero-migration,Australia,1.8316,1.8018,1.7845,1.7705,1.7647,1.762,1.7627,1.763,1.7664,1.7715,1.776,1.7819,1.7859,1.7906,1.7946,1.7985,1.8033
9,40,Europe,Zero-migration,Austria,1.5106,1.5605,1.6009,1.6339,1.6614,1.6847,1.7035,1.7204,1.7334,1.7453,1.7542,1.7637,1.7704,1.7768,1.7823,1.787,1.7895
10,31,Asia,Zero-migration,Azerbaijan,2.0358,1.9817,1.9366,1.9014,1.8718,1.8502,1.8347,1.8231,1.814,1.8104,1.8088,1.808,1.8097,1.8118,1.8123,1.8129,1.8161
11,44,Americas,Zero-migration,Bahamas,1.7551,1.7221,1.7086,1.7015,1.7028,1.7065,1.7132,1.7208,1.728,1.737,1.7459,1.7532,1.7606,1.7682,1.7745,1.7801,1.785
12,48,Asia,Zero-migration,Bahrain,1.9982,1.8904,1.8041,1.7404,1.6933,1.668,1.6572,1.6559,1.6644,1.6744,1.6883,1.7024,1.7143,1.7282,1.7392,1.7506,1.7588
13,50,Asia,Zero-migration,Bangladesh,2.0673,1.938,1.8367,1.7584,1.702,1.6733,1.6591,1.6562,1.6634,1.6751,1.6904,1.7036,1.7162,1.729,1.7401,1.7512,1.7614
14,52,Americas,Zero-migration,Barbados,1.7991,1.8056,1.8118,1.8164,1.8211,1.8259,1.829,1.8331,1.8345,1.8377,1.8391,1.8416,1.8428,1.8432,1.8443,1.8448,1.8455
15,112,Europe,Zero-migration,Belarus,1.7062,1.7526,1.7862,1.8109,1.8296,1.8432,1.8547,1.8618,1.8673,1.8734,1.8765,1.8799,1.8814,1.8837,1.8864,1.8851,1.8882
16,56,Europe,Zero-migration,Belgium,1.7988,1.8123,1.8241,1.831,1.8393,1.8458,1.8498,1.8547,1.857,1.8595,1.8613,1.8636,1.8641,1.8664,1.8668,1.8673,1.8679
17,84,Americas,Zero-migration,Belize,2.459,2.3133,2.1921,2.0921,2.0088,1.9397,1.8848,1.8412,1.8119,1.7898,1.7764,1.7684,1.764,1.7643,1.7658,1.7681,1.771
18,204,Africa,Zero-migration,Benin,4.8675,4.5403,4.243,3.9717,3.733,3.5197,3.3313,3.1671,3.0204,2.8952,2.7764,2.672,2.5757,2.4898,2.4055,2.3247,2.2525
19,64,Asia,Zero-migration,Bhutan,2.0154,1.8691,1.7611,1.6832,1.6369,1.6186,1.6202,1.6315,1.6483,1.6658,1.6835,1.701,1.7173,1.7319,1.7436,1.7538,1.764
20,68,Americas,Zero-migration,Bolivia (Plurinational State of),2.8254,2.6465,2.5029,2.3828,2.2806,2.1902,2.1122,2.0443,1.9878,1.9406,1.9035,1.8732,1.8513,1.8344,1.8211,1.8121,1.8047
21,70,Europe,Zero-migration,Bosnia and Herzegovina,1.3858,1.4482,1.502,1.5482,1.5887,1.6213,1.6495,1.6743,1.6957,1.7127,1.7273,1.7401,1.751,1.7603,1.7682,1.7754,1.7809
22,72,Africa,Zero-migration,Botswana,2.6514,2.4717,2.3285,2.2062,2.1015,2.0182,1.9504,1.8978,1.8601,1.832,1.8134,1.8026,1.7985,1.7955,1.794,1.7947,1.7972
23,76,Americas,Zero-migration,Brazil,1.7048,1.6496,1.6196,1.6096,1.6108,1.6185,1.6344,1.6497,1.6663,1.6835,1.6985,1.714,1.7282,1.7393,1.7486,1.759,1.7675
24,96,Asia,Zero-migration,Brunei Darussalam,1.8482,1.8016,1.7643,1.7398,1.7225,1.7134,1.7134,1.7144,1.7203,1.7262,1.7352,1.7439,1.7533,1.76,1.7674,1.7743,1.7803
25,100,Europe,Zero-migration,Bulgaria,1.5841,1.6423,1.6875,1.7214,1.7488,1.7705,1.7873,1.8007,1.811,1.8196,1.8265,1.8315,1.836,1.8391,1.8418,1.8439,1.8465
26,854,Africa,Zero-migration,Burkina Faso,5.2315,4.8337,4.4666,4.1267,3.8234,3.554,3.3188,3.121,2.9441,2.7973,2.6709,2.5581,2.4579,2.3674,2.2792,2.2026,2.1352
27,108,Africa,Zero-migration,Burundi,5.5773,5.181,4.8075,4.4621,4.15,3.8653,3.6134,3.3978,3.2065,3.0383,2.8942,2.7668,2.6538,2.5448,2.4519,2.362,2.2826
28,132,Africa,Zero-migration,Cabo Verde,2.2885,2.1352,2.0162,1.924,1.8538,1.8009,1.7639,1.7401,1.7291,1.726,1.7254,1.7283,1.7355,1.7417,1.7495,1.7567,1.7641
29,116,Asia,Zero-migration,Cambodia,2.5238,2.3815,2.2669,2.1706,2.0885,2.0171,1.9574,1.91,1.872,1.8416,1.8215,1.8049,1.7937,1.7873,1.7837,1.7808,1.7806
30,120,Africa,Zero-migration,Cameroon,4.603,4.2878,4.0004,3.7492,3.5251,3.3329,3.1632,3.0121,2.8775,2.7612,2.6588,2.5602,2.4689,2.3845,2.3066,2.2345,2.1679
31,124,Americas,Zero-migration,Canada,1.5633,1.5574,1.5765,1.5977,1.6212,1.6422,1.663,1.6834,1.6997,1.7152,1.7292,1.7421,1.7514,1.7606,1.7682,1.7752,1.7831
32,140,Africa,Zero-migration,Central African Republic,4.7541,4.3878,4.0226,3.6822,3.3648,3.0969,2.8722,2.6849,2.5318,2.4049,2.3013,2.2104,2.1314,2.068,2.0155,1.9748,1.9381
