LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Constant fertility,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17880.398,18398.909,18943.831,19514.208,20109.428,20729.208,21373.629,22043.048,22738.049,23459.132,24206.511,24979.817,25778.022,26599.726,27444.022,28311.072,29201.534,30115.672,31053.871,32016.809,33005.203,34020.338,35064.187,36139.184,37247.618,38391.090,39571.119,40789.821,42049.449,43352.129,44699.682,46093.820,47536.440,49029.413,50574.556,52173.710,53828.501,55540.196,57309.919,59138.942,61029.095,62982.250,64999.817,67083.137,69233.832,71454.047,73746.222,76112.654,78555.787,81078.271,83682.934,86372.874,89151.598,92022.848,94990.425,98057.980,101229.235,104508.155,107898.833,111405.460,115032.273,118783.615,122664.059,126678.328,130831.165,135127.494,139572.133,144169.707,148924.808,153842.342,158927.787,164186.863,169625.128,175248.246,181062.188,187073.290,193288.259,199714.064,206357.934,213227.266,220329.622,227672.697,235264.335,243112.543,251225.464
4,Afghanistan,Constant fertility,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16820.987,17321.692,17847.830,18398.518,18973.239,19571.774,20194.216,20840.936,21512.499,22209.394,22931.853,23679.597,24451.698,25246.940,26064.510,26904.646,27767.996,28654.809,29565.440,30500.535,31460.815,32447.522,33462.655,34508.633,35587.712,36701.453,37851.307,39039.295,40267.519,41538.001,42852.490,44212.630,45620.177,47076.883,48584.429,50144.519,51758.723,53428.370,55154.692,56938.977,58782.998,60688.459,62656.541,64688.325,66785.172,68949.054,71182.234,73486.892,75865.301,78319.950,80853.445,83468.672,86168.849,88957.439,91837.944,94813.746,97888.324,101065.398,104348.833,107742.581,111250.588,114876.911,118625.724,122501.296,126507.995,130650.420,134933.128,139360.478,143936.888,148666.982,153555.950,158609.226,163832.104,169230.043,174808.763,180574.293,186532.986,192691.420,199056.426,205634.990,212434.269,219461.581,226724.377,234230.288,241987.088
4,Afghanistan,Constant fertility,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34701.393,35720.603,36791.656,37912.732,39082.666,40300.976,41567.841,42883.986,44250.541,45668.530,47138.375,48659.406,50229.712,51846.670,53508.532,55215.710,56969.528,58770.475,60619.313,62517.346,64466.025,66467.859,68526.845,70647.826,72835.324,75092.530,77422.424,79829.114,82316.969,84890.130,87552.170,90306.442,93156.614,96106.294,99158.983,102318.229,105587.216,108968.560,112464.601,116077.912,119812.098,123670.703,127656.366,131771.470,136018.999,140403.099,144928.458,149599.555,154421.093,159398.225,164536.372,169841.551,175320.454,180980.296,186828.364,192871.726,199117.555,205573.551,212247.673,219148.041,226282.860,233660.525,241289.782,249179.628,257339.165,265777.912,274505.246,283530.188,292861.698,302509.327,312483.740,322796.086,333457.227,344478.284,355870.945,367647.587,379821.245,392405.486,405414.359,418862.263,432763.890,447134.268,461988.715,477342.837,493212.554
903,Africa,Constant fertility,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,612564.098,629443.257,646897.040,664930.632,683551.439,702769.370,722596.568,743047.665,764139.153,785889.236,808316.972,831441.669,855282.952,879861.117,905199.164,931323.149,958262.682,986049.996,1014719.913,1044308.215,1074849.761,1106380.868,1138941.919,1172575.449,1207324.349,1243231.765,1280340.667,1318693.756,1358334.582,1399308.539,1441664.666,1485453.960,1530727.736,1577538.756,1625941.509,1675994.710,1727757.051,1781285.051,1836635.289,1893868.721,1953054.207,2014264.349,2077570.598,2143046.754,2210770.571,2280826.177,2353301.282,2428285.466,2505871.377,2586156.055,2669242.120,2755235.637,2844243.996,2936377.480,3031751.820,3130490.124,3232720.281,3338572.130,3448179.323,3561681.283,3679226.182,3800966.141,3927053.002,4057642.155,4192897.054,4332994.229,4478116.676,4628447.001,4784172.564,4945490.376,5112612.349,5285758.234,5465148.331,5651008.935,5843577.808,6043105.430,6249854.760,6464099.515,6686122.801,6916215.625,7154676.138,7401809.517,7657927.895,7923350.375,8198403.043
903,Africa,Constant fertility,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,614212.559,630880.302,648118.881,665933.356,684330.906,703321.454,722916.760,743130.933,763980.179,785481.998,807655.099,830518.597,854092.173,878396.022,903453.287,929289.565,955933.891,983417.820,1011775.662,1041042.407,1071252.405,1102441.195,1134648.301,1167915.085,1202283.468,1237795.471,1274493.116,1312419.133,1351616.907,1392131.506,1434011.205,1477305.472,1522063.070,1568333.801,1616169.606,1665627.011,1716763.821,1769636.518,1824302.197,1880821.587,1939262.346,1999694.324,2062186.037,2126807.377,2193632.988,2262744.016,2334226.433,2408167.234,2484657.237,2563790.836,2645668.079,2730391.974,2818066.566,2908799.092,3002701.732,3099894.747,3200502.740,3304651.680,3412471.285,3524097.154,3639672.974,3759347.397,3883271.010,4011598.858,4144492.377,4282123.987,4424670.504,4572307.614,4725215.109,4883582.144,5047613.762,5217522.868,5393522.050,5575829.450,5764674.479,5960298.926,6162957.010,6372913.424,6590441.954,6815823.768,7049347.172,7291307.036,7542004.766,7801748.712,8070853.516
903,Africa,Constant fertility,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1226776.650,1260323.482,1295015.869,1330863.967,1367882.426,1406090.798,1445513.353,1486178.585,1528119.269,1571371.221,1615972.042,1661960.287,1709375.156,1758257.162,1808652.457,1860612.683,1914196.503,1969467.855,2026495.575,2085350.661,2146102.109,2208822.134,2273590.268,2340490.556,2409607.858,2481027.246,2554833.710,2631112.864,2709951.440,2791440.051,2875675.862,2962759.409,3052790.863,3145872.578,3242111.067,3341621.652,3444520.927,3550921.551,3660937.428,3774690.377,3892316.529,4013958.739,4139756.623,4269854.090,4404403.551,4543570.239,4687527.661,4836452.739,4990528.663,5149946.930,5314910.234,5485627.648,5662310.573,5845176.581,6034453.567,6230384.896,6433223.065,6643223.784,6860650.595,7085778.465,7318899.175,7560313.547,7810324.078,8069241.092,8337389.467,8615118.258,8902787.120,9200754.562,9509387.659,9829072.467,10160226.101,10503281.224,10858670.378,11226838.407,11608252.260,12003404.376,12412811.795,12837012.944,13276564.770,13732039.376,14204023.277,14693116.511,15199932.677,15725099.051,16269256.582
8,Albania,Constant fertility,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1477.222,1478.678,1480.139,1481.510,1482.725,1483.716,1484.418,1484.810,1484.831,1484.471,1483.690,1482.467,1480.759,1478.554,1475.814,1472.535,1468.732,1464.445,1459.720,1454.611,1449.137,1443.306,1437.163,1430.763,1424.127,1417.296,1410.302,1403.126,1395.795,1388.315,1380.699,1372.959,1365.114,1357.180,1349.170,1341.096,1332.952,1324.718,1316.373,1307.890,1299.270,1290.510,1281.603,1272.566,1263.386,1254.054,1244.582,1234.962,1225.199,1215.276,1205.197,1194.974,1184.594,1174.049,1163.342,1152.466,1141.439,1130.256,1118.925,1107.457,1095.860,1084.146,1072.328,1060.415,1048.422,1036.364,1024.267,1012.159,1000.077,988.040,976.084,964.217,952.488,940.935,929.586,918.473,907.598,896.990,886.632,876.514,866.687,857.112,847.827,838.840,830.158
8,Albania,Constant fertility,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1450.148,1452.886,1455.579,1458.154,1460.519,1462.609,1464.355,1465.720,1466.642,1467.094,1467.039,1466.450,1465.288,1463.536,1461.174,1458.187,1454.582,1450.405,1445.694,1440.515,1434.873,1428.788,1422.280,1415.376,1408.108,1400.492,1392.548,1384.282,1375.693,1366.801,1357.596,1348.120,1338.393,1328.431,1318.277,1307.939,1297.432,1286.766,1275.960,1265.017,1253.950,1242.778,1231.527,1220.204,1208.830,1197.418,1185.976,1174.517,1163.062,1151.616,1140.196,1128.801,1117.437,1106.108,1094.824,1083.577,1072.376,1061.221,1050.133,1039.096,1028.120,1017.198,1006.329,995.504,984.708,973.936,963.210,952.505,941.833,931.191,920.584,910.023,899.509,889.042,878.642,868.312,858.073,847.953,837.966,828.134,818.500,809.060,799.871,790.949,782.330
8,Albania,Constant fertility,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2927.373,2931.566,2935.722,2939.661,2943.242,2946.321,2948.782,2950.525,2951.469,2951.561,2950.733,2948.911,2946.049,2942.085,2936.988,2930.718,2923.318,2914.844,2905.412,2895.127,2884.013,2872.095,2859.445,2846.132,2832.236,2817.794,2802.847,2787.413,2771.492,2755.114,2738.292,2721.080,2703.505,2685.613,2667.451,2649.031,2630.378,2611.488,2592.336,2572.910,2553.225,2533.293,2513.139,2492.770,2472.212,2451.475,2430.560,2409.485,2388.261,2366.890,2345.401,2323.770,2302.041,2280.158,2258.163,2236.045,2213.817,2191.484,2169.059,2146.554,2123.976,2101.347,2078.658,2055.916,2033.126,2010.302,1987.479,1964.669,1941.909,1919.233,1896.667,1874.241,1851.989,1829.973,1808.223,1786.791,1765.683,1744.946,1724.588,1704.662,1685.181,1666.183,1647.703,1629.794,1612.488
12,Algeria,Constant fertility,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20538.311,20942.637,21345.802,21747.112,22145.877,22541.377,22932.882,23319.659,23701.053,24076.616,24446.286,24810.495,25170.295,25527.095,25882.256,26236.357,26590.126,26945.172,27303.391,27666.370,28034.864,28409.414,28791.011,29180.602,29578.881,29986.189,30402.510,30827.518,31260.621,31701.198,32149.043,32603.672,33063.839,33527.953,33994.691,34463.506,34934.041,35405.407,35876.706,36347.261,36816.798,37285.327,37752.990,38220.113,38687.107,39154.162,39621.738,40090.830,40562.717,41038.527,41518.864,42004.259,42495.586,42993.780,43499.642,44013.732,44536.493,45068.405,45609.931,46161.410,46723.134,47295.243,47877.783,48470.682,49073.831,49687.213,50310.754,50944.089,51586.768,52238.402,52898.796,53567.766,54244.909,54929.739,55621.895,56321.116,57027.310,57740.405,58460.421,59187.327,59921.104,60661.652,61408.900,62162.695,62922.869
