LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Constant mortality,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17817.990,18243.613,18666.517,19086.658,19504.007,19918.503,20330.046,20738.549,21143.875,21545.874,21944.325,22338.983,22729.547,23115.659,23496.972,23873.149,24243.817,24608.501,24966.707,25317.922,25661.762,25997.819,26325.528,26644.287,26953.571,27253.020,27542.328,27821.079,28088.867,28345.346,28590.224,28823.397,29044.906,29254.899,29453.501,29640.658,29816.235,29980.208,30132.568,30273.307,30402.405,30519.842,30625.546,30719.453,30801.506,30871.701,30930.049,30976.589,31011.375,31034.442,31045.879,31045.717,31033.944,31010.539,30975.513,30929.004,30871.192,30802.208,30722.214,30631.438,30530.098,30418.497,30297.021,30166.100,30026.168,29877.576,29720.714,29556.081,29384.242,29205.722,29020.931,28830.261,28634.140,28433.010,28227.287,28017.350,27803.554,27586.228,27365.693,27142.244,26916.190,26687.826,26457.422,26225.288,25991.687
4,Afghanistan,Constant mortality,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16761.254,17173.213,17582.739,17989.854,18394.526,18796.731,19196.364,19593.371,19987.637,20379.020,20767.345,21152.390,21533.895,21911.556,22285.050,22654.092,23018.334,23377.361,23730.722,24077.964,24418.733,24752.644,25079.178,25397.765,25707.893,26009.248,26301.512,26584.292,26857.179,27119.838,27371.994,27613.491,27844.370,28064.745,28274.698,28474.146,28662.944,28841.048,29008.394,29164.945,29310.655,29445.455,29569.250,29681.914,29783.376,29873.563,29952.448,30020.021,30076.280,30121.210,30154.837,30177.144,30188.051,30187.479,30175.361,30151.799,30116.887,30070.704,30013.322,29944.864,29865.528,29775.561,29675.285,29565.067,29445.291,29316.267,29178.360,29032.064,28877.946,28716.496,28548.139,28373.270,28192.353,28005.858,27814.254,27617.944,27417.295,27212.658,27004.359,26792.720,26578.086,26360.787,26141.158,25919.559,25696.318
4,Afghanistan,Constant mortality,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34579.237,35416.817,36249.253,37076.523,37898.538,38715.217,39526.409,40331.920,41131.516,41924.885,42711.668,43491.371,44263.441,45027.217,45782.026,46527.234,47262.147,47985.868,48697.430,49395.887,50080.488,50750.455,51404.696,52042.050,52661.464,53262.265,53843.845,54405.378,54946.042,55465.184,55962.222,56436.890,56889.272,57319.647,57728.203,58114.805,58479.177,58821.242,59140.968,59438.258,59713.064,59965.299,60194.797,60401.371,60584.882,60745.260,60882.498,60996.618,61087.653,61155.658,61200.713,61222.857,61222.001,61198.018,61150.886,61080.808,60988.079,60872.907,60735.538,60576.296,60395.626,60194.062,59972.308,59731.172,59471.459,59193.842,58899.066,58588.145,58262.182,57922.217,57569.075,57203.528,56826.494,56438.866,56041.540,55635.289,55220.850,54798.890,54370.050,53934.969,53494.283,53048.608,52598.584,52144.844,51688.004
903,Africa,Constant mortality,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,611302.791,626428.873,641641.934,656946.529,672345.168,687838.236,703424.252,719099.682,734859.640,750699.012,766613.270,782600.143,798659.315,814791.714,830995.576,847264.909,863590.294,879961.597,896366.869,912793.649,929231.762,945669.050,962088.487,978470.615,994797.620,1011056.173,1027233.711,1043314.011,1059280.434,1075117.755,1090812.922,1106354.650,1121732.706,1136937.889,1151960.896,1166792.689,1181423.392,1195843.398,1210043.247,1224014.453,1237748.391,1251239.143,1264483.845,1277481.712,1290230.290,1302724.342,1314956.476,1326920.610,1338609.945,1350017.935,1361138.816,1371966.536,1382493.552,1392711.797,1402613.644,1412193.504,1421446.145,1430365.219,1438944.670,1447178.991,1455063.936,1462595.877,1469770.710,1476584.443,1483034.036,1489117.483,1494833.626,1500182.189,1505163.645,1509778.811,1514028.442,1517913.660,1521436.554,1524599.721,1527406.386,1529859.538,1531962.725,1533719.733,1535134.670,1536212.236,1536957.616,1537376.567,1537475.282,1537260.466,1536739.648
903,Africa,Constant mortality,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,612983.431,627940.313,642990.281,658138.380,673387.444,688738.234,704189.416,719737.625,735378.255,751106.255,766917.343,782809.320,798782.249,814837.178,830972.747,847182.996,863458.666,879789.286,896162.659,912566.026,928989.253,945420.509,961842.921,978237.606,994586.934,1010877.690,1027097.437,1043230.530,1059261.086,1075174.351,1090957.477,1106599.245,1122088.834,1137416.053,1152571.240,1167545.016,1182327.760,1196910.590,1211284.785,1225442.509,1239375.420,1253077.112,1266544.486,1279775.744,1292768.066,1305516.043,1318012.479,1330251.086,1342225.169,1353927.952,1365353.714,1376496.575,1387349.320,1397904.239,1408154.343,1418093.900,1427717.476,1437019.283,1445993.363,1454634.413,1462937.968,1470899.805,1478515.384,1485780.090,1492690.080,1499242.653,1505435.793,1511267.871,1516737.934,1521845.276,1526589.673,1530971.291,1534990.548,1538648.568,1541946.765,1544887.341,1547472.871,1549706.599,1551592.092,1553133.612,1554335.674,1555203.297,1555742.010,1555957.819,1555856.981
903,Africa,Constant mortality,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1224286.253,1254369.196,1284632.237,1315084.884,1345732.646,1376576.497,1407613.693,1438837.310,1470237.865,1501805.225,1533530.642,1565409.455,1597441.530,1629628.848,1661968.276,1694447.960,1727049.030,1759750.913,1792529.496,1825359.714,1858221.008,1891089.641,1923931.369,1956708.191,1989384.599,2021933.877,2054331.057,2086544.497,2118541.531,2150292.170,2181770.425,2212953.996,2243821.523,2274353.899,2304532.176,2334337.672,2363751.138,2392754.013,2421328.080,2449456.930,2477123.735,2504316.274,2531028.375,2557257.453,2582998.393,2608240.330,2632968.968,2657171.695,2680835.112,2703945.824,2726492.466,2748463.149,2769842.867,2790616.007,2810768.031,2830287.425,2849163.621,2867384.479,2884938.047,2901813.343,2918001.870,2933495.725,2948286.074,2962364.529,2975724.170,2988360.133,3000269.385,3011450.056,3021901.597,3031624.121,3040618.142,3048884.908,3056427.048,3063248.320,3069353.190,3074746.914,3079435.597,3083426.296,3086726.761,3089345.883,3091293.365,3092579.905,3093217.256,3093218.281,3092596.649
8,Albania,Constant mortality,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1476.951,1477.749,1478.216,1478.305,1477.985,1477.242,1476.056,1474.442,1472.379,1469.873,1466.923,1463.520,1459.604,1455.136,1450.081,1444.442,1438.221,1431.412,1424.007,1416.028,1407.467,1398.367,1388.780,1378.772,1368.411,1357.730,1346.754,1335.551,1324.185,1312.703,1301.145,1289.525,1277.878,1266.243,1254.641,1243.066,1231.557,1220.070,1208.556,1197.022,1185.444,1173.815,1162.105,1150.281,1138.305,1126.179,1113.883,1101.437,1088.794,1075.974,1062.976,1049.802,1036.492,1023.060,1009.538,995.936,982.301,968.649,955.055,941.544,928.152,914.896,901.818,888.962,876.362,864.030,851.984,840.236,828.806,817.691,806.899,796.428,786.265,776.372,766.723,757.315,748.126,739.135,730.337,721.713,713.219,704.850,696.554,688.277,679.977
8,Albania,Constant mortality,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1449.988,1452.228,1454.148,1455.723,1456.893,1457.649,1457.964,1457.813,1457.205,1456.110,1454.517,1452.424,1449.768,1446.516,1442.644,1438.142,1432.998,1427.209,1420.769,1413.688,1405.953,1397.608,1388.662,1379.179,1369.199,1358.747,1347.862,1336.589,1324.982,1313.080,1300.931,1288.562,1276.030,1263.386,1250.666,1237.930,1225.174,1212.421,1199.661,1186.915,1174.193,1161.512,1148.849,1136.200,1123.541,1110.895,1098.245,1085.604,1072.951,1060.294,1047.626,1034.961,1022.308,1009.677,997.095,984.564,972.079,959.671,947.344,935.106,922.975,910.960,899.069,887.287,875.628,864.103,852.719,841.489,830.446,819.602,808.946,798.498,788.287,778.313,768.589,759.124,749.912,740.937,732.173,723.615,715.247,707.023,698.973,691.034,683.220
8,Albania,Constant mortality,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2926.941,2929.973,2932.365,2934.025,2934.884,2934.896,2934.023,2932.255,2929.580,2925.984,2921.453,2915.940,2909.373,2901.656,2892.727,2882.583,2871.215,2858.615,2844.785,2829.713,2813.432,2795.972,2777.440,2757.950,2737.607,2716.477,2694.616,2672.142,2649.161,2625.789,2602.075,2578.094,2553.909,2529.628,2505.308,2481.006,2456.731,2432.478,2408.226,2383.937,2359.636,2335.322,2310.956,2286.476,2261.849,2237.069,2212.135,2187.037,2161.749,2136.276,2110.602,2084.767,2058.799,2032.747,2006.635,1980.503,1954.378,1928.326,1902.393,1876.651,1851.127,1825.857,1800.883,1776.245,1751.990,1728.127,1704.700,1681.730,1659.249,1637.284,1615.848,1594.932,1574.548,1554.677,1535.311,1516.442,1498.030,1480.072,1462.515,1445.327,1428.464,1411.886,1395.519,1379.319,1363.205
12,Algeria,Constant mortality,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20499.159,20853.163,21195.635,21526.696,21846.386,22154.657,22451.421,22736.515,23009.797,23271.225,23521.002,23759.700,23988.255,24207.898,24419.720,24624.234,24821.952,25013.919,25201.341,25385.173,25565.865,25743.658,25918.980,26092.152,26263.368,26432.654,26599.789,26764.269,26925.360,27082.341,27234.903,27382.521,27523.942,27657.638,27782.402,27897.713,28003.359,28098.728,28183.279,28256.673,28318.717,28369.595,28409.853,28440.255,28461.562,28474.155,28478.450,28475.348,28465.882,28450.999,28431.255,28407.169,28379.548,28349.254,28316.999,28283.216,28248.195,28212.254,28175.712,28138.703,28101.376,28063.657,28025.288,27985.848,27944.934,27902.383,27857.937,27810.938,27760.588,27706.209,27647.568,27584.512,27516.609,27443.396,27364.596,27280.151,27190.191,27095.008,26994.986,26890.554,26782.167,26670.292,26555.402,26437.976,26318.527
