LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,High,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17844.975,18308.875,18780.075,19257.599,19740.814,20229.382,20723.292,21222.779,21728.235,22239.936,22757.740,23280.809,23807.515,24335.765,24863.908,25391.155,25917.412,26442.569,26966.804,27490.160,28012.342,28532.920,29051.740,29568.661,30083.547,30596.242,31106.580,31614.425,32119.625,32622.065,33121.550,33617.972,34111.392,34601.955,35089.692,35574.496,36056.087,36534.135,37008.222,37477.965,37943.166,38403.574,38858.792,39308.341,39751.821,40188.981,40619.708,41043.837,41461.300,41872.008,42275.865,42672.792,43062.780,43445.847,43822.057,44191.455,44554.080,44909.908,45258.889,45601.054,45936.456,46265.311,46588.053,46905.236,47217.297,47524.506,47826.937,48124.723,48417.928,48706.637,48991.031,49271.304,49547.577,49819.946,50088.549,50353.520,50615.061,50873.349,51128.601,51381.003,51630.762,51878.053,52123.060,52365.947,52606.870
4,Afghanistan,High,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16787.294,17236.149,17692.269,18154.801,18623.153,19097.051,19576.493,20061.737,20553.154,21051.018,21555.219,22065.006,22578.880,23094.925,23611.622,24128.280,24644.799,25161.110,25677.377,26193.666,26709.712,27225.141,27739.849,28253.754,28766.787,29278.815,29789.689,30299.281,30807.452,31314.096,31819.035,32322.172,32823.557,33323.290,33821.409,34317.764,34812.104,35304.189,35793.704,36280.338,36763.911,37244.147,37720.536,38192.484,38659.505,39121.300,39577.704,40028.584,40473.855,40913.405,41347.104,41774.777,42196.345,42611.766,43020.986,43423.961,43820.647,44210.918,44594.658,44971.792,45342.287,45706.211,46063.766,46415.220,46760.805,47100.607,47434.668,47763.015,48085.672,48402.664,48714.098,49020.079,49320.718,49616.086,49906.307,50191.503,50471.819,50747.427,51018.498,51285.209,51547.753,51806.323,52061.107,52312.321,52560.157
4,Afghanistan,High,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34632.268,35545.028,36472.343,37412.407,38363.966,39326.434,40299.787,41284.516,42281.388,43290.960,44312.958,45345.812,46386.397,47430.691,48475.534,49519.432,50562.213,51603.689,52644.180,53683.828,54722.050,55758.059,56791.583,57822.414,58850.330,59875.055,60896.274,61913.707,62927.087,63936.167,64940.580,65940.141,66934.951,67925.254,68911.103,69892.259,70868.198,71838.324,72801.931,73758.303,74707.071,75647.722,76579.327,77500.825,78411.318,79310.277,80197.409,81072.424,81935.151,82785.419,83622.968,84447.564,85259.118,86057.610,86843.036,87615.415,88374.729,89120.826,89853.544,90572.845,91278.741,91971.523,92651.823,93320.456,93978.102,94625.108,95261.600,95887.737,96503.603,97109.301,97705.129,98291.380,98868.297,99436.039,99994.855,100545.026,101086.886,101620.778,102147.097,102666.210,103178.517,103684.368,104184.165,104678.263,105167.028
903,Africa,High,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,612429.267,629078.807,646172.645,663686.139,681602.795,699914.753,718622.406,737733.007,757258.745,777209.881,797587.940,818379.656,839554.375,861071.184,882901.100,905032.259,927472.820,950238.788,973355.995,996843.969,1020705.556,1044937.030,1069543.973,1094531.959,1119904.788,1145663.738,1171808.034,1198335.346,1225241.918,1252523.403,1280175.654,1308193.824,1336571.640,1365302.015,1394376.826,1423790.391,1453533.663,1483591.178,1513944.357,1544577.731,1575481.482,1606649.910,1638077.111,1669758.886,1701690.722,1733865.823,1766277.376,1798921.116,1831793.509,1864890.635,1898207.171,1931737.432,1965476.547,1999419.873,2033562.487,2067898.322,2102421.372,2137127.053,2172010.639,2207066.753,2242288.856,2277669.100,2313198.792,2348868.270,2384668.066,2420589.942,2456625.469,2492764.884,2528997.977,2565314.847,2601706.793,2638165.086,2674679.554,2711239.858,2747836.248,2784460.082,2821103.652,2857760.022,2894422.382,2931084.014,2967738.207,3004377.928,3040996.158,3077585.585,3114138.842
903,Africa,High,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,614080.437,630523.914,647411.359,664719.006,682430.835,700539.383,719045.000,737954.567,757279.878,777030.693,797208.733,817801.277,838779.177,860103.295,881746.210,903696.599,925962.528,948559.883,971513.842,994843.660,1018552.318,1042636.487,1067101.540,1091952.763,1117193.869,1142826.291,1168849.308,1195261.321,1222059.440,1249240.024,1276799.272,1304732.761,1333033.686,1361694.209,1390706.021,1420063.203,1449757.606,1479775.785,1510101.717,1540721.884,1571627.260,1602811.767,1634268.738,1665992.538,1697977.324,1730216.532,1762703.724,1795434.528,1828405.564,1861612.899,1895051.345,1928715.216,1962600.115,1996701.945,2031016.150,2065536.986,2100258.583,2135176.414,2170285.818,2205581.327,2241056.314,2276703.245,2312514.453,2348482.059,2384597.514,2420852.592,2457237.896,2493742.592,2530354.859,2567063.287,2603858.276,2640729.875,2677666.221,2714654.512,2751683.244,2788741.920,2825821.342,2862913.236,2900009.362,2937101.619,2974181.471,3011240.067,3048268.244,3085256.310,3122194.398
903,Africa,High,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1226509.733,1259602.710,1293584.073,1328405.157,1364033.709,1400454.202,1437667.388,1475687.571,1514538.605,1554240.566,1594796.676,1636181.008,1678333.483,1721174.473,1764647.300,1808728.869,1853435.324,1898798.724,1944869.813,1991687.625,2039257.900,2087573.490,2136645.507,2186484.774,2237098.670,2288489.986,2340657.306,2393596.647,2447301.367,2501763.422,2556974.936,2612926.582,2669605.288,2726996.235,2785082.798,2843853.540,2903291.370,2963366.920,3024046.033,3085299.652,3147108.725,3209461.695,3272345.806,3335751.365,3399668.098,3464082.410,3528981.027,3594355.704,3660199.069,3726503.648,3793258.606,3860452.664,3928076.707,3996121.862,4064578.621,4133435.304,4202680.083,4272303.470,4342296.370,4412648.083,4483345.182,4554372.402,4625713.307,4697350.352,4769265.639,4841442.488,4913863.329,4986507.459,5059352.886,5132378.141,5205565.027,5278894.917,5352345.713,5425894.426,5499519.470,5573201.990,5646925.059,5720673.232,5794431.746,5868185.605,5941919.666,6015618.037,6089264.449,6162841.940,6236333.256
8,Albania,High,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1479.064,1482.716,1486.658,1490.766,1494.933,1499.089,1503.182,1507.196,1511.128,1514.968,1518.685,1522.210,1525.422,1528.177,1530.372,1531.948,1532.945,1533.351,1533.215,1532.575,1531.434,1529.828,1527.840,1525.558,1523.069,1520.433,1517.682,1514.874,1512.111,1509.441,1506.896,1504.510,1502.309,1500.307,1498.539,1497.004,1495.689,1494.550,1493.540,1492.579,1491.672,1490.780,1489.875,1488.908,1487.830,1486.625,1485.283,1483.768,1482.081,1480.200,1478.111,1475.837,1473.388,1470.783,1468.053,1465.197,1462.250,1459.240,1456.219,1453.231,1450.302,1447.447,1444.690,1442.047,1439.546,1437.213,1435.040,1433.070,1431.290,1429.718,1428.362,1427.232,1426.332,1425.676,1425.258,1425.097,1425.171,1425.507,1426.072,1426.874,1427.912,1429.172,1430.647,1432.335,1434.217
8,Albania,High,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1451.819,1456.579,1461.585,1466.715,1471.862,1476.946,1481.919,1486.738,1491.404,1495.892,1500.172,1504.171,1507.784,1510.858,1513.300,1515.064,1516.162,1516.603,1516.438,1515.689,1514.376,1512.515,1510.168,1507.427,1504.355,1500.987,1497.369,1493.559,1489.614,1485.610,1481.553,1477.488,1473.445,1469.465,1465.572,1461.765,1458.074,1454.473,1450.943,1447.463,1444.028,1440.642,1437.289,1433.930,1430.540,1427.132,1423.693,1420.220,1416.716,1413.183,1409.615,1406.042,1402.469,1398.956,1395.503,1392.129,1388.863,1385.734,1382.787,1380.057,1377.563,1375.306,1373.303,1371.528,1370.006,1368.721,1367.678,1366.850,1366.223,1365.778,1365.498,1365.393,1365.426,1365.584,1365.830,1366.170,1366.607,1367.156,1367.834,1368.658,1369.640,1370.816,1372.170,1373.720,1375.475
8,Albania,High,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2930.888,2939.291,2948.239,2957.479,2966.792,2976.038,2985.103,2993.930,3002.529,3010.850,3018.854,3026.384,3033.205,3039.036,3043.672,3047.014,3049.104,3049.959,3049.649,3048.263,3045.812,3042.344,3038.009,3032.975,3027.425,3021.426,3015.050,3008.439,3001.730,2995.041,2988.455,2982.002,2975.756,2969.787,2964.105,2958.762,2953.758,2949.026,2944.472,2940.041,2935.693,2931.427,2927.162,2922.835,2918.370,2913.757,2908.964,2903.984,2898.798,2893.374,2887.735,2881.878,2875.861,2869.738,2863.546,2857.326,2851.112,2844.960,2839.009,2833.291,2827.868,2822.755,2817.991,2813.576,2809.550,2805.931,2802.717,2799.923,2797.518,2795.497,2793.866,2792.622,2791.764,2791.253,2791.087,2791.267,2791.778,2792.657,2793.904,2795.534,2797.559,2799.981,2802.813,2806.051,2809.693
12,Algeria,High,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20530.845,20927.092,21320.805,21710.753,22095.978,22475.697,22849.350,23216.596,23577.273,23931.310,24278.740,24619.566,24953.802,25281.479,25602.875,25918.180,26228.219,26534.756,26840.022,27145.864,27452.989,27761.752,28073.139,28388.133,28707.430,29031.346,29359.856,29692.692,30029.337,30369.207,30712.071,31057.412,31403.836,31749.635,32093.370,32434.386,32772.280,33106.086,33434.789,33757.653,34074.268,34384.568,34688.596,34986.611,35278.930,35565.658,35847.076,36123.995,36397.439,36668.330,36937.139,37204.272,37470.461,37736.487,38003.038,38270.536,38539.328,38809.858,39082.531,39357.656,39635.434,39915.934,40199.139,40484.948,40773.200,41063.833,41356.653,41651.256,41947.101,42243.698,42540.787,42838.109,43135.170,43431.450,43726.496,44019.969,44311.640,44601.350,44888.965,45174.335,45457.305,45737.676,46015.211,46289.664,46560.734
