LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Instant replacement,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17682.948,17872.461,17994.699,18104.414,18242.122,18418.593,18623.753,18852.379,19092.776,19336.404,19583.870,19839.862,20104.131,20376.453,20656.213,20942.713,21234.455,21529.053,21823.572,22115.427,22403.426,22686.480,22962.259,23228.211,23482.383,23723.697,23951.926,24167.175,24369.996,24560.981,24740.156,24907.769,25065.014,25213.458,25354.480,25488.614,25616.404,25739.230,25858.669,25975.927,26091.539,26205.568,26318.167,26429.235,26538.596,26646.270,26751.951,26854.547,26952.605,27044.927,27131.065,27210.787,27283.224,27347.495,27402.931,27449.332,27486.710,27515.001,27534.272,27544.743,27546.619,27540.417,27527.268,27508.572,27485.595,27459.057,27429.584,27398.253,27366.214,27334.482,27303.769,27274.664,27247.953,27224.430,27204.718,27189.257,27178.301,27171.974,27170.300,27173.244,27180.737,27192.664,27208.909,27229.266,27253.552
4,Afghanistan,Instant replacement,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16619.283,16804.800,16934.592,17054.842,17199.789,17378.975,17584.305,17811.249,18049.647,18292.080,18539.044,18794.607,19058.569,19330.768,19610.693,19897.693,20190.382,20486.479,20783.204,21078.110,21370.100,21658.150,21940.079,22213.513,22476.614,22728.379,22968.627,23197.464,23415.473,23623.245,23820.813,24008.428,24187.222,24358.671,24524.095,24683.972,24838.821,24990.001,25139.072,25287.207,25434.890,25582.145,25728.987,25875.202,26020.475,26164.747,26307.680,26448.173,26584.830,26716.448,26842.507,26962.629,27075.867,27181.226,27277.909,27365.556,27444.012,27513.040,27572.451,27622.252,27662.449,27693.392,27715.809,27730.728,27739.056,27741.340,27738.076,27730.127,27718.468,27703.954,27687.253,27668.920,27649.727,27630.422,27611.681,27594.043,27577.932,27563.705,27551.636,27541.994,27535.049,27531.040,27530.211,27532.813,27539.079
4,Afghanistan,Instant replacement,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34302.239,34677.264,34929.298,35159.262,35441.910,35797.567,36208.054,36663.630,37142.416,37628.485,38122.918,38634.468,39162.707,39707.226,40266.909,40840.408,41424.835,42015.533,42606.776,43193.536,43773.521,44344.630,44902.341,45441.724,45958.990,46452.077,46920.558,47364.645,47785.478,48184.226,48560.969,48916.193,49252.233,49572.137,49878.576,50172.581,50455.224,50729.235,50997.736,51263.127,51526.428,51787.717,52047.156,52304.442,52559.058,52811.017,53059.626,53302.724,53537.437,53761.365,53973.576,54173.407,54359.089,54528.722,54680.838,54814.886,54930.723,55028.035,55106.717,55166.991,55209.068,55233.804,55243.080,55239.299,55224.659,55200.399,55167.659,55128.379,55084.673,55038.443,54991.020,54943.593,54897.683,54854.859,54816.399,54783.296,54756.235,54735.676,54721.932,54715.240,54715.784,54723.705,54739.115,54762.075,54792.630
903,Africa,Instant replacement,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,605366.161,612063.850,617206.157,622059.947,627564.272,633983.345,641096.996,648780.773,656754.506,664814.523,672976.482,681354.831,689945.907,698746.981,707746.342,716928.812,726260.984,735688.361,745143.892,754569.019,763935.730,773219.259,782367.898,791325.607,800048.443,808510.016,816702.133,824624.712,832287.763,839700.965,846861.978,853770.469,860443.657,866904.851,873174.647,879261.809,885175.057,890935.533,896567.417,902090.268,907512.298,912837.880,918077.428,923240.497,928332.268,933356.412,938307.419,943168.501,947916.412,952531.220,957006.414,961337.198,965507.543,969498.927,973297.163,976896.974,980296.785,983492.533,986481.563,989264.041,991841.243,994219.745,996413.328,998440.025,1000316.940,1002054.638,1003663.179,1005159.147,1006560.572,1007884.465,1009143.524,1010350.488,1011521.490,1012673.266,1013820.848,1014976.716,1016151.167,1017352.692,1018589.149,1019868.088,1021197.297,1022584.677,1024038.703,1025567.677,1027180.464
903,Africa,Instant replacement,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,607215.837,614000.942,619294.114,624315.997,629971.971,636518.002,643743.813,651529.612,659605.251,667774.482,676052.696,684550.703,693265.440,702194.499,711327.018,720648.387,730126.117,739707.097,749325.787,758924.779,768476.972,777958.262,787318.221,796502.014,805466.746,814186.720,822654.008,830868.711,838841.100,846580.836,854085.688,861355.484,868406.874,875262.250,881941.741,888453.426,894805.824,901020.815,907123.334,913133.416,919058.827,924902.831,930674.031,936379.915,942023.556,947607.405,953125.229,958558.947,963883.732,969078.407,974135.033,979047.477,983799.284,988371.966,992750.901,996929.138,1000903.185,1004666.782,1008214.847,1011545.295,1014657.128,1017554.508,1020248.247,1022752.947,1025082.424,1027244.795,1029247.559,1031103.743,1032827.778,1034433.319,1035931.695,1037333.633,1038651.374,1039897.394,1041083.750,1042222.026,1043323.400,1044398.708,1045458.443,1046513.428,1047574.343,1048651.891,1049757.024,1050900.724,1052093.928
903,Africa,Instant replacement,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1212582.020,1226064.808,1236500.265,1246375.925,1257536.295,1270501.301,1284840.878,1300310.374,1316359.781,1332589.029,1349029.207,1365905.511,1383211.373,1400941.499,1419073.304,1437577.204,1456387.091,1475395.457,1494469.726,1513493.743,1532412.661,1551177.567,1569686.209,1587827.562,1605515.165,1622696.684,1639356.160,1655493.385,1671128.884,1686281.814,1700947.644,1715125.920,1728850.563,1742167.048,1755116.368,1767715.183,1779980.833,1791956.277,1803690.714,1815223.705,1826571.085,1837740.691,1848751.460,1859620.450,1870355.860,1880963.836,1891432.623,1901727.426,1911800.164,1921609.677,1931141.469,1940384.748,1949306.791,1957870.848,1966048.086,1973826.124,1981199.989,1988159.340,1994696.430,2000809.355,2006498.389,2011774.293,2016661.480,2021193.011,2025399.389,2029299.425,2032910.813,2036262.924,2039388.377,2042317.758,2045075.272,2047684.170,2050172.916,2052570.605,2054904.575,2057198.777,2059474.579,2061751.346,2064047.554,2066381.516,2068771.608,2071236.606,2073795.701,2076468.338,2079274.428
8,Albania,Instant replacement,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1480.459,1485.890,1491.766,1497.690,1503.327,1508.447,1512.974,1516.969,1520.574,1523.926,1526.980,1529.635,1531.846,1533.550,1534.724,1535.345,1535.431,1534.990,1534.043,1532.604,1530.691,1528.335,1525.620,1522.661,1519.532,1516.286,1512.939,1509.564,1506.214,1502.946,1499.784,1496.741,1493.830,1491.047,1488.405,1485.895,1483.503,1481.184,1478.858,1476.462,1473.984,1471.405,1468.711,1465.857,1462.834,1459.620,1456.220,1452.615,1448.810,1444.801,1440.592,1436.195,1431.620,1426.880,1422.010,1417.007,1411.901,1406.708,1401.468,1396.210,1390.963,1385.720,1380.503,1375.338,1370.214,1365.165,1360.202,1355.313,1350.531,1345.854,1341.297,1336.864,1332.565,1328.434,1324.461,1320.672,1317.059,1313.624,1310.377,1307.303,1304.410,1301.700,1299.169,1296.833,1294.667
8,Albania,Instant replacement,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1451.275,1457.310,1464.744,1472.483,1479.662,1485.938,1491.360,1496.034,1500.256,1504.227,1507.883,1511.073,1513.743,1515.834,1517.319,1518.168,1518.425,1518.073,1517.134,1515.632,1513.584,1511.013,1507.991,1504.599,1500.923,1496.976,1492.800,1488.439,1483.943,1479.364,1474.718,1470.030,1465.317,1460.591,1455.860,1451.128,1446.405,1441.678,1436.903,1432.054,1427.125,1422.128,1417.061,1411.910,1406.667,1401.348,1395.950,1390.478,1384.953,1379.392,1373.808,1368.209,1362.615,1357.059,1351.575,1346.151,1340.821,1335.613,1330.551,1325.661,1320.958,1316.434,1312.088,1307.911,1303.884,1300.029,1296.308,1292.723,1289.238,1285.839,1282.511,1279.268,1276.067,1272.913,1269.780,1266.671,1263.602,1260.583,1257.635,1254.785,1252.041,1249.449,1247.003,1244.742,1242.674
8,Albania,Instant replacement,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2931.740,2943.201,2956.514,2970.172,2982.991,2994.389,3004.336,3012.995,3020.828,3028.142,3034.858,3040.706,3045.583,3049.389,3052.045,3053.525,3053.858,3053.066,3051.180,3048.235,3044.273,3039.347,3033.608,3027.261,3020.448,3013.258,3005.738,2997.996,2990.159,2982.304,2974.504,2966.772,2959.142,2951.648,2944.264,2937.020,2929.909,2922.861,2915.754,2908.513,2901.111,2893.542,2885.775,2877.765,2869.507,2860.977,2852.164,2843.094,2833.768,2824.201,2814.406,2804.404,2794.232,2783.946,2773.576,2763.167,2752.725,2742.324,2732.022,2721.878,2711.919,2702.153,2692.597,2683.241,2674.103,2665.191,2656.505,2648.040,2639.776,2631.702,2623.808,2616.126,2608.638,2601.339,2594.234,2587.337,2580.654,2574.211,2568.017,2562.089,2556.461,2551.153,2546.177,2541.562,2537.337
12,Algeria,Instant replacement,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20444.018,20717.505,20964.728,21202.657,21443.788,21690.882,21939.984,22188.950,22433.680,22671.311,22901.967,23127.501,23348.706,23566.726,23782.489,23996.247,24208.109,24418.682,24628.627,24838.435,25048.305,25258.207,25468.062,25677.680,25886.817,26095.248,26302.713,26508.753,26712.826,26914.355,27113.103,27308.527,27499.439,27684.353,27862.163,28032.420,28195.136,28350.186,28497.604,28637.536,28769.904,28894.905,29013.365,29126.374,29234.830,29339.127,29439.434,29536.141,29629.636,29720.242,29808.267,29893.950,29977.370,30058.577,30137.605,30214.600,30289.716,30363.036,30434.608,30504.479,30572.721,30639.423,30704.675,30768.587,30831.253,30892.705,30952.949,31012.042,31069.987,31126.797,31182.476,31237.000,31290.262,31342.145,31392.549,31441.390,31488.638,31534.253,31578.217,31620.477,31660.977,31699.619,31736.298,31770.850,31803.143
