LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Low,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17809.495,18222.032,18628.193,19028.655,19423.822,19813.757,20198.276,20576.941,20949.128,21314.295,21672.197,22023.071,22367.782,22707.514,23043.052,23374.518,23701.411,24023.037,24338.457,24646.833,24947.786,25241.033,25525.892,25801.590,26067.457,26323.082,26568.087,26801.943,27024.090,27234.101,27431.647,27616.582,27788.919,27948.820,28096.387,28231.575,28354.281,28464.631,28562.713,28648.662,28722.506,28784.298,28834.109,28872.023,28898.136,28912.486,28915.146,28906.205,28885.721,28853.775,28810.461,28755.811,28689.816,28612.420,28523.630,28423.580,28312.410,28190.056,28056.427,27911.539,27755.532,27588.779,27411.816,27225.292,27029.833,26825.868,26613.724,26393.824,26166.557,25932.331,25691.628,25444.942,25192.831,24935.923,24674.781,24409.955,24141.922,23871.149,23598.106,23323.274,23047.163,22770.303,22493.265,22216.641,21941.057
4,Afghanistan,Low,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16753.573,17153.638,17548.010,17937.363,18322.093,18702.307,19077.822,19448.227,19812.974,20171.539,20523.700,20869.733,21210.487,21547.149,21880.502,22210.709,22537.292,22859.642,23176.850,23488.153,23793.216,24091.801,24383.274,24666.944,24942.201,25208.645,25465.965,25713.656,25951.204,26178.205,26394.362,26599.546,26793.757,26977.148,27149.808,27311.668,27462.664,27602.917,27732.634,27851.953,27960.910,28059.501,28147.703,28225.475,28292.800,28349.653,28396.061,28432.085,28457.800,28473.242,28478.424,28473.274,28457.709,28431.560,28394.731,28347.225,28289.045,28220.006,28139.861,28048.495,27945.896,27832.248,27707.791,27572.822,27427.669,27272.563,27107.721,26933.382,26749.800,26557.268,26356.122,26146.747,25929.621,25705.248,25474.141,25236.780,24993.631,24745.149,24491.806,24234.089,23972.560,23707.800,23440.411,23171.071,22900.482
4,Afghanistan,Low,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34563.056,35375.664,36176.205,36966.028,37745.912,38516.060,39276.091,40025.173,40762.098,41485.836,42195.892,42892.800,43578.266,44254.660,44923.556,45585.230,46238.700,46882.679,47515.310,48134.989,48740.999,49332.831,49909.169,50468.541,51009.654,51531.725,52034.053,52515.596,52975.296,53412.313,53826.007,54216.121,54582.681,54925.973,55246.194,55543.233,55816.943,56067.546,56295.350,56500.609,56683.425,56843.793,56981.803,57097.506,57190.927,57262.143,57311.214,57338.276,57343.518,57327.012,57288.885,57229.089,57147.523,57043.983,56918.353,56770.806,56601.454,56410.066,56196.291,55960.018,55701.428,55421.029,55119.595,54798.114,54457.502,54098.425,53721.444,53327.208,52916.350,52489.605,52047.745,51591.688,51122.449,50641.166,50148.921,49646.740,49135.553,48616.296,48089.906,47557.364,47019.723,46478.093,45933.673,45387.714,44841.532
903,Africa,Low,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,611060.391,625792.775,640504.872,655235.413,670011.516,684847.999,699747.803,714703.865,729702.085,744729.831,759785.242,774885.159,790068.741,805387.690,820877.259,836547.009,852380.876,868355.066,884433.464,900584.726,916796.034,933058.121,949345.542,965629.704,981884.834,998093.048,1014238.739,1030301.401,1046260.657,1062098.335,1077798.770,1093349.976,1108742.927,1123971.276,1139027.974,1153904.093,1168590.291,1183079.730,1197366.237,1211444.317,1225306.192,1238946.377,1252363.779,1265559.642,1278532.660,1291277.613,1303786.268,1316050.843,1328062.421,1339812.072,1351292.873,1362496.618,1373411.381,1384023.923,1394322.259,1404298.385,1413945.515,1423254.272,1432215.384,1440820.963,1449064.817,1456942.474,1464450.460,1471586.193,1478347.751,1484732.609,1490738.922,1496366.592,1501616.212,1506488.851,1510984.901,1515105.229,1518851.709,1522226.745,1525232.951,1527873.089,1530150.121,1532067.278,1533628.028,1534836.455,1535696.958,1536214.473,1536394.406,1536242.626,1535765.534
903,Africa,Low,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,612755.740,627342.471,641922.111,656532.250,671199.105,685936.992,700748.544,715626.868,730558.090,745529.780,760540.116,775605.712,790764.884,806068.222,821550.474,837220.992,853064.364,869057.762,885166.808,901361.104,917628.647,933960.336,950331.341,966713.464,983081.456,999417.898,1015707.863,1031931.726,1048069.945,1064105.185,1080022.493,1095810.293,1111459.474,1126963.358,1142315.182,1157505.654,1172526.182,1187371.467,1202037.527,1216519.911,1230811.666,1244906.530,1258802.495,1272498.903,1285993.211,1299279.657,1312350.137,1325196.278,1337808.692,1350177.910,1362296.514,1374155.847,1385744.374,1397049.152,1408058.450,1418763.837,1429157.769,1439230.204,1448971.102,1458371.665,1467424.616,1476124.524,1484467.325,1492449.845,1500069.131,1507321.344,1514202.539,1520710.151,1526842.127,1532596.620,1537972.236,1542967.424,1547580.557,1551810.132,1555655.409,1559116.465,1562194.319,1564890.639,1567207.455,1569147.389,1570712.963,1571907.208,1572733.162,1573194.227,1573293.806
903,Africa,Low,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1223816.120,1253135.254,1282426.983,1311767.677,1341210.702,1370784.987,1400496.240,1430330.720,1460260.169,1490259.642,1520325.383,1550490.847,1580833.615,1611455.927,1642427.701,1673768.074,1705445.228,1737412.823,1769600.238,1801945.819,1834424.651,1867018.517,1899676.924,1932343.203,1964966.319,1997510.946,2029946.564,2062233.157,2094330.592,2126203.526,2157821.203,2189160.203,2220202.444,2250934.582,2281343.106,2311409.752,2341116.508,2370451.190,2399403.750,2427964.284,2456117.943,2483852.866,2511166.369,2538058.467,2564525.837,2590557.330,2616136.412,2641247.104,2665871.108,2689990.051,2713589.345,2736652.479,2759155.770,2781073.050,2802380.732,2823062.317,2843103.298,2862484.487,2881186.480,2899192.672,2916489.456,2933067.056,2948917.761,2964036.074,2978416.919,2992053.938,3004941.458,3017076.657,3028458.332,3039085.449,3048957.128,3058072.676,3066432.297,3074036.889,3080888.365,3086989.565,3092344.462,3096957.921,3100835.536,3103983.850,3106409.945,3108121.683,3109127.552,3109436.822,3109059.387
8,Albania,Low,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1475.835,1475.106,1473.749,1471.788,1469.265,1466.212,1462.644,1458.563,1453.967,1448.855,1443.235,1437.125,1430.586,1423.661,1416.398,1408.812,1400.907,1392.653,1384.010,1374.948,1365.461,1355.574,1345.308,1334.692,1323.727,1312.451,1300.866,1288.977,1276.818,1264.404,1251.736,1238.845,1225.749,1212.501,1199.105,1185.608,1172.002,1158.279,1144.464,1130.543,1116.524,1102.400,1088.196,1073.892,1059.504,1045.031,1030.461,1015.789,1000.993,986.066,970.986,955.770,940.401,924.861,909.151,893.239,877.162,860.924,844.528,827.986,811.322,794.539,777.669,760.715,743.711,726.677,709.643,692.638,675.699,658.866,642.171,625.620,609.266,593.144,577.300,561.743,546.502,531.570,516.985,502.718,488.805,475.250,462.056,449.234,436.818
8,Albania,Low,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1448.830,1449.525,1449.599,1449.089,1448.010,1446.382,1444.205,1441.466,1438.160,1434.277,1429.807,1424.778,1419.231,1413.212,1406.759,1399.900,1392.611,1384.888,1376.679,1367.968,1358.757,1349.063,1338.873,1328.218,1317.094,1305.512,1293.492,1281.029,1268.134,1254.829,1241.112,1227.024,1212.585,1197.861,1182.876,1167.642,1152.212,1136.605,1120.852,1104.997,1089.050,1073.032,1056.977,1040.888,1024.794,1008.713,992.649,976.602,960.580,944.585,928.616,912.683,896.785,880.908,865.052,849.218,833.408,817.640,801.911,786.236,770.620,755.055,739.551,724.093,708.698,693.363,678.074,662.859,647.710,632.635,617.647,602.743,587.941,573.235,558.641,544.172,529.843,515.684,501.715,487.968,474.464,461.243,448.313,435.717,423.478
8,Albania,Low,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2924.674,2924.635,2923.345,2920.862,2917.271,2912.595,2906.854,2900.035,2892.123,2883.126,2873.042,2861.910,2849.821,2836.876,2823.159,2808.708,2793.522,2777.537,2760.691,2742.915,2724.222,2704.638,2684.186,2662.903,2640.821,2617.963,2594.355,2570.012,2544.955,2519.230,2492.847,2465.865,2438.337,2410.354,2381.981,2353.253,2324.213,2294.891,2265.321,2235.538,2205.562,2175.428,2145.164,2114.778,2084.300,2053.744,2023.112,1992.393,1961.579,1930.646,1899.603,1868.458,1837.190,1805.764,1774.188,1742.450,1710.574,1678.563,1646.438,1614.231,1581.941,1549.599,1517.210,1484.815,1452.407,1420.034,1387.720,1355.498,1323.410,1291.507,1259.810,1228.362,1197.201,1166.379,1135.935,1105.909,1076.338,1047.262,1018.696,990.694,963.277,936.480,910.365,884.958,860.303
12,Algeria,Low,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20476.622,20800.672,21107.304,21397.869,21673.380,21934.500,22181.567,22414.644,22633.609,22838.477,23029.708,23208.451,23376.712,23536.973,23691.257,23840.507,23985.070,24125.504,24262.186,24395.434,24525.589,24652.974,24777.647,24899.574,25018.620,25134.686,25247.546,25356.667,25461.344,25560.933,25655.118,25743.436,25824.883,25898.286,25962.677,26017.637,26063.012,26098.417,26123.586,26138.344,26142.581,26136.388,26120.178,26094.602,26060.196,26017.233,25965.939,25906.943,25840.941,25768.543,25690.160,25606.052,25516.489,25421.719,25321.958,25217.506,25108.640,24995.550,24878.447,24757.516,24632.921,24504.841,24373.526,24239.211,24102.088,23962.267,23819.775,23674.674,23526.975,23376.668,23223.757,23068.190,22909.778,22748.276,22583.484,22415.235,22243.449,22068.080,21889.047,21706.263,21519.595,21328.858,21133.820,20934.204,20729.688
