LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Medium,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17864.420,18309.892,18735.288,19155.739,19582.321,20016.770,20455.153,20896.278,21337.567,21777.116,22214.978,22651.941,23087.645,23521.633,23953.480,24382.833,24809.350,25232.601,25652.143,26067.547,26478.419,26884.367,27284.868,27679.365,28067.375,28448.538,28822.546,29188.962,29547.366,29897.378,30238.715,30571.202,30894.833,31209.721,31515.928,31813.319,32101.725,32381.021,32651.122,32911.890,33163.254,33405.092,33637.280,33859.631,34072.019,34274.327,34466.505,34648.502,34820.283,34981.817,35133.065,35273.976,35404.469,35524.467,35633.903,35732.849,35821.348,35899.291,35966.549,36023.077,36068.938,36104.400,36129.925,36146.099,36153.445,36152.277,36142.822,36125.342,36100.106,36067.384,36027.495,35980.791,35927.644,35868.456,35803.585,35733.398,35658.227,35578.398,35494.240,35406.089,35314.279,35219.174,35121.163,35020.620,34917.954
4,Afghanistan,Medium,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16791.607,17220.191,17637.881,18053.261,18472.624,18896.938,19323.943,19752.933,20182.425,20611.279,21039.468,21467.369,21894.676,22321.029,22746.060,23169.484,23590.986,24010.168,24426.648,24840.001,25249.907,25655.988,26057.802,26454.872,26846.757,27233.143,27613.758,27988.179,28356.020,28716.932,29070.640,29416.999,29755.994,30087.720,30412.196,30729.310,31038.891,31340.882,31635.267,31921.984,32200.953,32472.028,32734.962,32989.462,33235.286,33472.269,33700.323,33919.401,34129.454,34330.428,34522.227,34704.717,34877.726,35041.087,35194.659,35338.398,35472.225,35595.934,35709.277,35812.110,35904.369,35986.166,36057.685,36119.215,36170.998,36213.189,36245.927,36269.346,36283.606,36288.886,36285.423,36273.449,36253.294,36225.274,36189.733,36146.986,36097.328,36041.077,35978.535,35910.027,35835.935,35756.617,35672.510,35584.042,35491.665
4,Afghanistan,Medium,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34656.032,35530.081,36373.176,37209.007,38054.941,38913.707,39779.095,40649.204,41519.986,42388.400,43254.446,44119.315,44982.317,45842.659,46699.545,47552.324,48400.329,49242.776,50078.786,50907.550,51728.328,52540.360,53342.664,54134.238,54914.122,55681.683,56436.296,57177.142,57903.378,58614.315,59309.352,59988.191,60650.823,61297.440,61928.118,62542.629,63140.612,63721.905,64286.388,64833.869,65364.208,65877.123,66372.235,66849.094,67307.303,67746.600,68166.836,68567.901,68949.732,69312.240,69655.300,69978.689,70282.194,70565.547,70828.562,71071.244,71293.579,71495.235,71675.834,71835.187,71973.309,72090.564,72187.611,72265.313,72324.435,72365.474,72388.742,72394.688,72383.708,72356.276,72312.905,72254.237,72180.933,72093.731,71993.320,71880.385,71755.556,71619.483,71472.775,71316.116,71150.213,70975.797,70793.669,70604.652,70409.629
903,Africa,Medium,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,611709.156,627391.689,643300.215,659437.968,675807.171,692399.176,709205.708,726231.181,743483.845,760969.835,778687.361,796633.579,814812.768,833230.367,851889.172,870787.169,889919.186,909279.623,928861.533,948656.978,968659.494,988860.855,1009248.294,1029807.193,1050523.666,1071387.532,1092388.880,1113514.203,1134749.117,1156080.483,1177496.727,1198987.980,1220545.722,1242162.266,1263829.308,1285538.184,1307278.560,1329039.093,1350807.534,1372572.975,1394325.503,1416058.080,1437766.311,1459447.840,1481098.530,1502710.850,1524275.120,1545782.944,1567225.485,1588593.449,1609878.595,1631071.464,1652160.475,1673133.126,1693977.619,1714684.510,1735244.944,1755649.036,1775886.941,1795949.215,1815827.270,1835513.040,1854998.683,1874276.598,1893339.896,1912181.196,1930793.914,1949172.011,1967309.933,1985202.219,2002843.376,2020227.846,2037350.415,2054205.857,2070789.376,2087096.408,2103123.071,2118865.522,2134320.375,2149484.181,2164354.060,2178927.003,2193200.246,2207171.241,2220837.570
903,Africa,Medium,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,613371.381,628876.383,644620.378,660600.751,676814.953,693255.436,709916.731,726803.136,743922.310,761280.232,778875.182,796704.635,814773.201,833086.707,851648.336,870456.439,889506.036,908792.092,928308.101,948046.733,968001.997,988165.846,1008526.052,1029067.928,1049778.023,1070646.482,1091663.853,1112817.521,1134093.925,1155480.805,1176967.140,1198543.584,1220201.195,1241931.917,1263727.501,1285578.995,1307477.093,1329412.042,1351373.851,1373353.407,1395341.441,1417330.415,1439315.158,1461291.654,1483254.532,1505196.037,1527106.934,1548978.552,1570801.793,1592567.358,1614266.687,1635890.417,1657427.269,1678865.408,1700193.431,1721401.852,1742481.689,1763422.760,1784214.921,1804848.487,1825314.178,1845603.682,1865709.461,1885624.522,1905341.812,1924853.400,1944151.140,1963227.414,1982074.380,2000684.593,2019051.011,2037166.457,2055023.039,2072612.463,2089927.162,2106960.585,2123706.977,2140161.099,2156318.158,2172173.379,2187721.883,2202958.904,2217879.394,2232478.397,2246750.863
903,Africa,Medium,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1225080.510,1256268.025,1287920.518,1320038.716,1352622.189,1385654.615,1419122.396,1453034.271,1487406.129,1522250.093,1557562.575,1593338.261,1629585.987,1666317.064,1703537.504,1741243.659,1779425.239,1818071.729,1857169.603,1896703.697,1936661.446,1977026.733,2017774.373,2058875.145,2100301.731,2142034.032,2184052.732,2226331.727,2268843.050,2311561.326,2354463.822,2397531.544,2440746.939,2484094.200,2527556.761,2571117.139,2614755.642,2658451.115,2702181.334,2745926.407,2789666.927,2833388.482,2877081.528,2920739.470,2964353.082,3007906.925,3051382.037,3094761.491,3138027.267,3181160.854,3224145.333,3266961.833,3309587.756,3351998.507,3394171.069,3436086.388,3477726.614,3519071.835,3560101.830,3600797.691,3641141.475,3681116.717,3720708.116,3759901.199,3798681.715,3837034.622,3874945.058,3912399.374,3949384.312,3985886.746,4021894.387,4057394.393,4092373.472,4126818.332,4160716.504,4194057.086,4226830.047,4259026.664,4290638.534,4321657.590,4352075.947,4381885.852,4411079.612,4439649.658,4467588.433
8,Albania,Medium,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1477.663,1479.140,1480.274,1481.233,1482.098,1482.753,1483.031,1482.952,1482.571,1481.910,1480.956,1479.669,1478.007,1475.916,1473.384,1470.382,1466.917,1462.984,1458.577,1453.688,1448.330,1442.528,1436.302,1429.726,1422.852,1415.703,1408.300,1400.677,1392.877,1384.940,1376.881,1368.727,1360.513,1352.251,1343.982,1335.712,1327.451,1319.166,1310.860,1302.477,1294.051,1285.548,1276.967,1268.289,1259.493,1250.576,1241.527,1232.333,1222.961,1213.416,1203.665,1193.733,1183.601,1173.272,1162.747,1152.018,1141.110,1130.034,1118.812,1107.475,1096.023,1084.490,1072.884,1061.229,1049.545,1037.863,1026.197,1014.575,1003.023,991.584,980.256,969.073,958.063,947.245,936.652,926.297,916.194,906.337,896.738,887.393,878.309,869.472,860.907,852.592,844.545
8,Albania,Medium,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1448.683,1451.035,1454.071,1457.190,1459.935,1462.051,1463.508,1464.389,1464.868,1465.085,1464.991,1464.482,1463.509,1462.043,1460.031,1457.479,1454.384,1450.726,1446.516,1441.764,1436.462,1430.615,1424.270,1417.454,1410.211,1402.547,1394.510,1386.100,1377.370,1368.336,1359.021,1349.455,1339.670,1329.715,1319.613,1309.379,1299.050,1288.629,1278.140,1267.579,1256.968,1246.317,1235.633,1224.922,1214.165,1203.389,1192.601,1181.793,1170.955,1160.091,1149.216,1138.320,1127.426,1116.527,1105.642,1094.757,1083.883,1073.048,1062.271,1051.566,1040.933,1030.395,1019.928,1009.546,999.244,989.027,978.892,968.841,958.869,948.972,939.144,929.403,919.746,910.151,900.635,891.192,881.843,872.599,863.488,854.532,845.751,837.160,828.783,820.645,812.754
8,Albania,Medium,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2926.348,2930.187,2934.363,2938.428,2942.034,2944.804,2946.540,2947.341,2947.436,2946.992,2945.952,2944.148,2941.514,2937.961,2933.419,2927.864,2921.296,2913.716,2905.095,2895.451,2884.782,2873.133,2860.572,2847.180,2833.058,2818.259,2802.812,2786.778,2770.248,2753.275,2735.905,2718.188,2700.179,2681.961,2663.591,2645.091,2626.496,2607.795,2588.991,2570.056,2551.016,2531.868,2512.604,2493.200,2473.665,2453.968,2434.127,2414.120,2393.917,2373.506,2352.885,2332.057,2311.030,2289.799,2268.385,2246.771,2224.993,2203.089,2181.092,2159.040,2136.956,2114.881,2092.813,2070.778,2048.793,2026.888,2005.091,1983.421,1961.896,1940.549,1919.400,1898.482,1877.803,1857.396,1837.280,1817.495,1798.031,1778.938,1760.231,1741.935,1724.057,1706.638,1689.689,1673.241,1657.307
12,Algeria,Medium,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20505.902,20866.391,21215.181,21554.165,21884.680,22205.934,22516.448,22816.250,23105.622,23384.895,23654.222,23914.000,24165.230,24409.206,24647.068,24879.375,25106.663,25330.090,25550.918,25770.183,25988.375,26205.796,26422.866,26639.966,26857.293,27074.893,27292.580,27509.906,27726.168,27940.692,28153.173,28363.058,28569.129,28769.881,28964.096,29151.206,29330.933,29502.626,29665.701,29819.730,29964.461,30099.909,30226.372,30344.385,30454.443,30556.726,30651.488,30739.437,30821.415,30898.164,30970.111,31037.553,31100.902,31160.607,31217.019,31270.460,31321.185,31369.459,31415.468,31459.394,31501.375,31541.523,31579.915,31616.595,31651.584,31684.861,31716.380,31745.964,31773.396,31798.470,31821.040,31840.990,31857.988,31871.698,31881.820,31888.118,31890.428,31888.624,31882.597,31872.192,31857.259,31837.586,31812.940,31783.042,31747.583
