LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Momentum,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17702.272,17919.142,18074.185,18218.287,18389.129,18596.616,18831.296,19088.391,19357.178,19629.781,19906.690,20192.142,20485.777,20787.236,21095.833,21410.782,21730.535,22052.492,22373.515,22690.835,23003.194,23309.487,23607.339,23894.188,24168.101,24427.960,24673.551,24905.083,25123.278,25328.841,25521.846,25702.541,25872.143,26032.187,26184.053,26328.280,26465.472,26597.062,26724.752,26849.795,26972.773,27093.730,27212.713,27329.501,27443.814,27555.679,27664.810,27770.101,27870.062,27963.497,28050.031,28129.427,28200.943,28263.707,28317.178,28361.152,28395.795,28421.325,28438.168,28446.816,28447.635,28441.153,28428.486,28410.951,28389.793,28365.689,28339.317,28311.921,28284.832,28259.161,28235.563,28214.463,28196.474,28182.157,28171.889,28165.838,28163.989,28166.132,28171.940,28180.998,28192.779,28206.685,28222.047,28238.093,28253.983
4,Afghanistan,Momentum,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16636.866,16847.262,17006.814,17158.142,17332.835,17539.637,17771.015,18022.893,18286.006,18553.575,18826.004,19106.884,19395.955,19692.880,19997.032,20307.686,20623.404,20941.738,21259.690,21574.649,21885.460,22191.062,22489.224,22777.545,23054.190,23318.102,23569.100,23807.388,24033.669,24248.635,24452.341,24645.019,24827.797,25002.116,25169.256,25329.691,25483.956,25633.377,25779.492,25923.459,26065.747,26206.351,26345.225,26482.095,26616.592,26748.679,26878.002,27003.394,27123.389,27236.729,27342.980,27441.836,27532.428,27613.844,27685.392,27746.829,27798.229,27839.664,27871.410,27893.823,27907.184,27912.017,27909.312,27900.315,27886.177,27867.595,27845.281,27820.496,27794.649,27768.953,27744.105,27720.652,27699.393,27681.125,27666.433,27655.660,27648.938,27646.196,27647.256,27651.846,27659.640,27670.263,27683.283,27698.222,27714.546
4,Afghanistan,Momentum,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34339.133,34766.412,35080.996,35376.426,35721.963,36136.253,36602.314,37111.286,37643.179,38183.352,38732.692,39299.026,39881.721,40480.116,41092.852,41718.470,42353.939,42994.233,43633.203,44265.498,44888.656,45500.542,46096.567,46671.741,47222.296,47746.059,48242.651,48712.475,49156.947,49577.469,49974.187,50347.562,50699.941,51034.296,51353.307,51657.976,51949.424,52230.436,52504.245,52773.250,53038.519,53300.079,53557.930,53811.599,54060.404,54304.358,54542.811,54773.491,54993.447,55200.234,55393.007,55571.274,55733.375,55877.555,56002.563,56107.988,56194.022,56260.993,56309.576,56340.645,56354.818,56353.166,56337.794,56311.270,56275.973,56233.281,56184.600,56132.415,56079.483,56028.119,55979.670,55935.117,55895.868,55863.284,55838.322,55821.501,55812.917,55812.321,55819.187,55832.841,55852.420,55876.955,55905.337,55936.314,55968.523
903,Africa,Momentum,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,605368.814,612065.481,617192.782,622004.068,627428.020,633723.015,640668.213,648138.909,655857.330,663620.431,671441.866,679431.850,687582.392,695885.680,704325.879,712885.759,721530.409,730203.113,738834.321,747363.591,755762.453,764005.854,772042.309,779816.151,787284.496,794421.725,801221.407,807686.864,813832.607,819672.276,825206.153,830436.094,835382.556,840071.896,844528.035,848762.032,852785.209,856622.465,860301.836,863846.186,867266.270,870568.121,873762.422,876858.634,879862.161,882778.242,885603.607,888322.256,890911.344,893352.126,895640.109,897773.154,899737.745,901518.750,903105.068,904494.033,905687.493,906686.148,907492.703,908112.332,908550.028,908815.213,908924.734,908899.448,908759.059,908516.220,908184.167,907784.215,907339.954,906872.504,906395.051,905919.678,905464.344,905047.441,904683.879,904383.204,904150.569,903987.777,903894.457,903869.476,903911.270,904018.241,904188.553,904420.476,904712.074
903,Africa,Momentum,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,607172.088,613890.488,619089.149,623983.942,629475.989,635817.273,642795.432,650290.757,658034.661,665831.009,673693.688,681729.730,689931.363,698290.639,706791.822,715418.274,724135.709,732887.751,741605.262,750228.153,758728.226,767081.189,775236.775,783141.145,790752.574,798045.917,805014.621,811662.525,818004.229,824053.308,829809.918,835275.380,840469.466,845417.687,850143.071,854655.706,858965.879,863096.623,867073.986,870918.982,874641.055,878244.962,881739.317,885131.132,888423.815,891621.539,894719.851,897702.046,900544.301,903227.239,905745.408,908096.528,910267.166,912242.890,914013.101,915574.958,916929.764,918078.226,919022.966,919768.930,920321.172,920688.921,920888.227,920939.027,920860.506,920665.198,920366.811,919986.536,919548.081,919072.921,918574.978,918067.228,917568.053,917096.476,916668.168,916294.405,915982.195,915735.845,915557.491,915448.925,915411.448,915446.524,915555.334,915739.292,915999.687
903,Africa,Momentum,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1212540.894,1225955.845,1236281.853,1245988.020,1256904.048,1269540.276,1283463.625,1298429.684,1313892.013,1329451.529,1345135.617,1361161.563,1377513.765,1394176.320,1411117.706,1428303.954,1445666.129,1463090.829,1480439.534,1497591.722,1514490.701,1531087.063,1547279.117,1562957.272,1578037.103,1592467.685,1606236.028,1619349.367,1631836.762,1643725.622,1655016.051,1665711.504,1675852.039,1685489.631,1694671.072,1703417.716,1711751.091,1719719.025,1727375.794,1734765.165,1741907.363,1748813.047,1755501.766,1761989.863,1768285.976,1774399.766,1780323.490,1786024.269,1791455.596,1796579.335,1801385.595,1805869.666,1810004.918,1813761.543,1817118.142,1820068.965,1822617.311,1824764.395,1826515.653,1827881.318,1828871.152,1829504.118,1829812.934,1829838.496,1829619.503,1829181.507,1828551.021,1827770.744,1826888.074,1825945.414,1824970.038,1823986.933,1823032.435,1822143.898,1821351.965,1820677.524,1820132.817,1819723.609,1819452.001,1819318.418,1819322.751,1819464.713,1819743.911,1820159.760,1820711.708
8,Albania,Momentum,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1482.804,1491.552,1501.396,1511.460,1521.068,1529.885,1537.890,1545.194,1552.079,1558.721,1565.085,1571.015,1576.441,1581.313,1585.568,1589.197,1592.230,1594.667,1596.502,1597.782,1598.513,1598.734,1598.554,1598.087,1597.433,1596.639,1595.746,1594.837,1594.024,1593.371,1592.926,1592.685,1592.654,1592.816,1593.155,1593.665,1594.331,1595.096,1595.856,1596.568,1597.187,1597.695,1598.040,1598.165,1598.034,1597.611,1596.911,1595.913,1594.617,1593.033,1591.173,1589.041,1586.690,1584.165,1581.514,1578.760,1575.925,1573.081,1570.276,1567.569,1564.998,1562.566,1560.320,1558.289,1556.508,1554.968,1553.693,1552.666,1551.882,1551.310,1550.967,1550.813,1550.815,1550.928,1551.103,1551.309,1551.526,1551.721,1551.900,1552.013,1552.048,1551.959,1551.711,1551.227,1550.472
8,Albania,Momentum,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1453.732,1463.242,1474.851,1486.972,1498.397,1508.658,1517.879,1526.246,1534.130,1541.828,1549.265,1556.220,1562.643,1568.473,1573.654,1578.192,1582.080,1585.320,1587.933,1589.913,1591.292,1592.102,1592.411,1592.309,1591.899,1591.210,1590.271,1589.169,1588.001,1586.816,1585.668,1584.569,1583.547,1582.603,1581.752,1580.991,1580.341,1579.765,1579.211,1578.666,1578.105,1577.540,1576.928,1576.234,1575.430,1574.533,1573.503,1572.381,1571.145,1569.800,1568.355,1566.828,1565.221,1563.612,1561.997,1560.391,1558.811,1557.296,1555.862,1554.516,1553.286,1552.177,1551.191,1550.308,1549.537,1548.880,1548.333,1547.911,1547.595,1547.390,1547.301,1547.311,1547.418,1547.639,1547.947,1548.353,1548.829,1549.358,1549.910,1550.470,1551.013,1551.516,1551.949,1552.289,1552.516
8,Albania,Momentum,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2936.536,2954.794,2976.251,2998.430,3019.470,3038.541,3055.772,3071.437,3086.210,3100.549,3114.347,3127.237,3139.091,3149.777,3159.225,3167.386,3174.314,3179.984,3184.433,3187.690,3189.795,3190.835,3190.961,3190.400,3189.332,3187.839,3186.008,3184.014,3182.021,3180.192,3178.590,3177.251,3176.196,3175.418,3174.902,3174.659,3174.668,3174.854,3175.075,3175.234,3175.303,3175.236,3174.966,3174.400,3173.470,3172.147,3170.419,3168.290,3165.755,3162.832,3159.532,3155.878,3151.925,3147.774,3143.502,3139.144,3134.749,3130.376,3126.134,3122.086,3118.284,3114.747,3111.507,3108.596,3106.043,3103.848,3102.028,3100.577,3099.467,3098.707,3098.262,3098.121,3098.236,3098.561,3099.044,3099.665,3100.340,3101.079,3101.810,3102.491,3103.070,3103.476,3103.654,3103.514,3102.983
12,Algeria,Momentum,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20444.794,20719.281,20967.352,21205.552,21445.996,21691.289,21937.482,22182.422,22422.098,22653.680,22877.246,23094.534,23306.244,23513.436,23716.934,23916.962,24113.575,24307.326,24498.823,24688.513,24876.550,25062.873,25247.417,25429.987,25610.347,25788.272,25963.444,26135.392,26303.560,26467.309,26626.428,26780.362,26927.861,27067.377,27197.759,27318.606,27429.974,27531.758,27624.023,27706.958,27780.568,27845.199,27901.884,27951.964,27996.573,28036.301,28071.487,28102.755,28130.679,28155.807,28178.595,28199.513,28219.060,28237.733,28255.945,28273.965,28291.983,28310.205,28328.774,28347.763,28367.242,28387.144,28407.211,28427.094,28446.463,28465.211,28483.167,28499.840,28514.667,28527.185,28537.268,28544.882,28549.829,28551.931,28551.110,28547.446,28541.163,28532.596,28522.128,28510.239,28497.403,28484.154,28471.031,28458.623,28447.546
