LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,No change,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17870.855,18375.708,18903.047,19451.990,20021.940,20612.607,21223.950,21856.185,22509.677,23184.740,23881.414,24599.228,25337.167,26093.866,26868.367,27660.646,28471.052,29299.559,30146.216,31011.318,31895.251,32798.884,33723.691,34671.550,35644.169,36642.666,37668.065,38721.907,39805.857,40921.435,42069.882,43252.347,44470.169,45724.664,47017.045,48348.525,49720.060,51132.352,52585.947,54081.481,55620.010,57202.618,58829.987,60502.710,62221.602,63987.836,65802.794,67667.767,69584.124,71553.364,73577.073,75657.057,77795.319,79994.045,82255.433,84581.546,86974.510,89436.745,91970.797,94579.192,97264.313,100028.519,102874.262,105804.046,108820.389,111925.858,115123.017,118414.324,121802.217,125289.248,128878.197,132571.919,136373.082,140284.366,144308.621,148448.896,152708.454,157090.704,161599.163,166237.391,171008.993,175917.618,180966.906,186160.556,191502.294
4,Afghanistan,No change,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16811.399,17298.524,17807.189,18336.543,18886.069,19455.492,20044.789,20654.187,21284.035,21934.658,22606.108,23297.967,24009.277,24738.790,25485.621,26249.759,27031.546,27831.009,28648.228,29483.507,30337.243,31210.253,32103.973,33020.171,33960.508,34926.034,35917.723,36937.029,37985.517,39064.617,40175.498,41319.247,42497.088,43710.253,44959.875,46247.073,47572.740,48937.521,50341.903,51786.461,53272.203,54800.107,56370.818,57984.878,59643.043,61346.412,63096.293,64893.901,66740.512,68637.546,70586.521,72589.123,74647.291,76763.074,78938.567,81175.747,83476.652,85843.611,88279.041,90785.373,93364.898,96019.915,98752.833,101566.067,104462.082,107443.389,110512.481,113671.804,116923.781,120270.948,123716.012,127261.748,130910.788,134665.782,138529.523,142504.984,146595.285,150803.694,155133.564,159588.287,164171.316,168886.093,173736.133,178724.952,183856.111
4,Afghanistan,No change,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34682.256,35674.237,36710.225,37788.529,38908.014,40068.101,41268.734,42510.364,43793.708,45119.399,46487.521,47897.197,49346.451,50832.662,52353.991,53910.400,55502.610,57130.571,58794.436,60494.824,62232.491,64009.132,65827.665,67691.726,69604.671,71568.701,73585.790,75658.952,77791.371,79986.048,82245.380,84571.593,86967.259,89434.916,91976.926,94595.595,97292.799,100069.875,102927.849,105867.941,108892.207,112002.720,115200.798,118487.594,121864.641,125334.248,128899.090,132561.664,136324.629,140190.902,144163.590,148246.187,152442.616,156757.116,161194.003,165757.294,170451.168,175280.354,180249.840,185364.554,190629.214,196048.435,201627.093,207370.112,213282.465,219369.246,225635.493,232086.121,238726.001,245560.189,252594.211,259833.664,267283.867,274950.144,282838.139,290953.876,299303.740,307894.406,316732.729,325825.684,335180.307,344803.707,354703.039,364885.513,375358.402
903,Africa,No change,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,612124.163,628430.597,645176.512,662363.810,679995.653,698076.649,716613.105,735612.505,755083.770,775036.792,795481.982,816430.388,837893.124,859881.986,882410.360,905493.007,929147.213,953392.484,978250.505,1003742.623,1029889.140,1056710.276,1084229.777,1112472.276,1141462.425,1171224.292,1201781.175,1233156.352,1265373.046,1298455.527,1332430.014,1367323.626,1403162.574,1439973.536,1477784.239,1516625.156,1556527.035,1597519.464,1639632.374,1682897.561,1727350.176,1773027.389,1819966.665,1868206.708,1917788.086,1968752.632,2021144.160,2075007.604,2130389.708,2187338.436,2245903.343,2306135.402,2368086.932,2431811.699,2497364.888,2564803.969,2634187.579,2705575.335,2779027.991,2854608.400,2932382.460,3012417.574,3094781.125,3179542.069,3266771.672,3356545.667,3448941.895,3544037.927,3641912.849,3742648.987,3846334.406,3953059.254,4062914.129,4175991.558,4292387.846,4412204.162,4535545.571,4662521.290,4793243.487,4927827.213,5066389.881,5209051.247,5355933.517,5507161.231,5662861.294
903,Africa,No change,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,613779.360,629881.284,646419.432,663395.913,680814.420,698680.002,716998.842,735778.608,755028.019,774756.956,794975.764,815695.441,836927.088,858682.436,880974.832,903818.884,927231.322,951230.839,975838.060,1001073.602,1026956.936,1053508.088,1080750.150,1108707.392,1137403.795,1166862.816,1197107.184,1228160.156,1260044.681,1292784.852,1326406.589,1360936.207,1396398.753,1432819.445,1470224.913,1508644.799,1548109.731,1588649.331,1630293.705,1673074.972,1717027.989,1762189.463,1808596.042,1856285.847,1905298.375,1955675.686,2007461.147,2060699.741,2115437.941,2171723.673,2229606.405,2289137.232,2350368.723,2413355.225,2478152.287,2544817.397,2613409.360,2683988.017,2756614.802,2831352.716,2908267.682,2987426.562,3068896.793,3152746.867,3239047.757,3327874.737,3419304.702,3513414.148,3610281.207,3709986.990,3812618.266,3918264.240,4027013.893,4138958.003,4254191.421,4372813.535,4494928.156,4620643.024,4750068.979,4883319.479,5020510.273,5161759.450,5307187.379,5456916.490,5611071.608
903,Africa,No change,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1225903.555,1258311.831,1291595.892,1325759.691,1360810.102,1396756.652,1433611.944,1471391.058,1510111.752,1549793.726,1590457.785,1632125.810,1674820.171,1718564.432,1763385.180,1809311.921,1856378.485,1904623.385,1954088.534,2004816.360,2056846.015,2110218.408,2164979.882,2221179.676,2278866.216,2338087.131,2398888.412,2461316.507,2525417.764,2591240.418,2658836.660,2728259.825,2799561.302,2872792.957,2948009.195,3025269.967,3104636.790,3186168.769,3269926.065,3355972.562,3444378.202,3535216.934,3628562.698,3724492.576,3823086.487,3924428.308,4028605.290,4135707.400,4245827.637,4359062.089,4475509.730,4595272.627,4718455.738,4845166.846,4975517.154,5109621.358,5247596.932,5389563.357,5535642.789,5685961.117,5840650.125,5999844.128,6163677.966,6332288.914,6505819.433,6684420.411,6868246.627,7057452.100,7252194.003,7452636.055,7658952.673,7871323.516,8089928.057,8314949.537,8546579.269,8785017.627,9030473.749,9283164.374,9543312.554,9811146.717,10086900.140,10370810.746,10663120.861,10964077.731,11273932.899
8,Albania,No change,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1476.717,1477.511,1478.142,1478.539,1478.610,1478.302,1477.569,1476.366,1474.657,1472.423,1469.652,1466.299,1462.345,1457.754,1452.497,1446.589,1440.033,1432.872,1425.159,1416.953,1408.275,1399.155,1389.647,1379.801,1369.686,1359.324,1348.733,1337.973,1327.059,1316.022,1304.890,1293.672,1282.386,1271.061,1259.706,1248.331,1236.921,1225.467,1213.930,1202.283,1190.511,1178.616,1166.589,1154.405,1142.047,1129.510,1116.801,1103.933,1090.886,1077.702,1064.381,1050.918,1037.348,1023.698,1009.988,996.239,982.466,968.706,954.990,941.337,927.788,914.341,901.038,887.923,874.998,862.286,849.805,837.573,825.593,813.895,802.461,791.314,780.424,769.793,759.393,749.216,739.260,729.503,719.928,710.532,701.288,692.166,683.133,674.159,665.208
8,Albania,No change,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1449.803,1452.051,1454.142,1455.972,1457.473,1458.589,1459.258,1459.428,1459.053,1458.116,1456.562,1454.383,1451.544,1448.017,1443.785,1438.845,1433.212,1426.897,1419.959,1412.460,1404.401,1395.800,1386.696,1377.131,1367.119,1356.708,1345.918,1334.782,1323.315,1311.549,1299.504,1287.221,1274.728,1262.080,1249.314,1236.458,1223.519,1210.517,1197.450,1184.330,1171.157,1157.961,1144.738,1131.487,1118.217,1104.936,1091.652,1078.377,1065.118,1051.874,1038.672,1025.510,1012.404,999.360,986.384,973.492,960.680,947.958,935.312,922.758,910.277,897.890,885.599,873.381,861.240,849.177,837.206,825.351,813.628,802.065,790.644,779.399,768.362,757.536,746.960,736.636,726.567,716.734,707.127,697.725,688.516,679.488,670.631,661.943,653.420
8,Albania,No change,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2926.524,2929.556,2932.277,2934.513,2936.090,2936.893,2936.824,2935.779,2933.713,2930.536,2926.220,2920.685,2913.889,2905.772,2896.286,2885.432,2873.234,2859.761,2845.122,2829.409,2812.679,2794.958,2776.347,2756.932,2736.801,2716.028,2694.658,2672.750,2650.370,2627.577,2604.395,2580.887,2557.123,2533.146,2509.023,2484.781,2460.444,2435.990,2411.384,2386.605,2361.666,2336.579,2311.324,2285.893,2260.260,2234.444,2208.450,2182.298,2156.010,2129.588,2103.056,2076.434,2049.748,2023.055,1996.371,1969.726,1943.146,1916.666,1890.298,1864.096,1838.061,1812.241,1786.638,1761.297,1736.235,1711.466,1687.018,1662.921,1639.224,1615.946,1593.113,1570.717,1548.793,1527.329,1506.356,1485.862,1465.824,1446.238,1427.056,1408.258,1389.796,1371.646,1353.760,1336.104,1318.623
12,Algeria,No change,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20533.668,20931.733,21327.003,21718.819,22106.496,22489.300,22866.489,23237.338,23601.177,23957.538,24306.317,24647.927,24983.342,25313.925,25640.944,25964.955,26286.603,26607.406,26929.160,27253.334,27580.629,27911.525,28246.912,28587.696,28934.501,29287.604,29646.930,30012.074,30382.361,30757.069,31135.986,31518.607,31903.623,32289.416,32674.652,33058.797,33441.520,33821.979,34199.281,34572.816,34942.362,35308.051,35670.231,36029.479,36386.417,36741.401,37094.999,37448.365,37802.893,38159.867,38519.974,38883.875,39252.777,39627.949,40010.484,40400.964,40799.762,41207.365,41624.215,42050.548,42486.540,42932.087,43386.763,43849.945,44321.012,44799.703,45285.604,45777.774,46275.075,46776.537,47281.751,47790.387,48301.773,48815.190,49330.106,49846.322,50363.858,50882.948,51403.934,51927.224,52453.220,52982.354,53515.054,54051.769,54592.945
