LocationID,Location,Variant,Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
4,Afghanistan,Zero migration,Male,4099.243,4134.477,4173.993,4217.860,4266.104,4318.781,4375.907,4437.510,4503.611,4574.218,4649.357,4729.080,4813.500,4902.741,4996.991,5096.402,5199.610,5306.370,5419.182,5541.421,5674.684,5818.116,5967.985,6119.139,6264.873,6398.955,6524.579,6639.627,6726.762,6763.628,6736.958,6642.671,6493.971,6317.189,6148.695,6018.080,5926.288,5874.816,5893.326,6017.390,6267.968,6666.302,7195.464,7791.067,8363.387,8849.356,9219.569,9495.935,9729.042,9995.068,10346.992,10803.961,11342.077,11919.888,12476.435,12969.246,13381.929,13732.620,14054.877,14398.314,14797.692,15264.600,15784.300,16333.415,16876.929,17389.625,17859.444,18331.972,18806.949,19284.120,19763.242,20244.093,20726.491,21210.237,21695.149,22181.009,22667.507,23154.253,23640.707,24126.246,24610.306,25092.450,25572.248,26049.213,26522.813,26992.557,27458.005,27918.725,28374.196,28823.900,29267.347,29704.168,30134.022,30556.570,30971.502,31378.509,31777.310,32167.674,32549.492,32922.735,33287.335,33643.097,33989.825,34327.356,34655.578,34974.313,35283.453,35582.794,35872.115,36151.131,36419.614,36677.415,36924.419,37160.526,37385.653,37599.716,37802.636,37994.340,38174.739,38343.751,38501.291,38647.457,38782.270,38905.626,39017.430,39117.658,39206.362,39283.859,39350.631,39407.343,39454.551,39492.611,39521.738,39542.211,39554.302,39558.298,39554.501,39543.291,39524.999,39500.008,39468.668,39431.309,39388.258,39339.838,39286.360,39228.126,39165.480,39098.741,39028.261,38954.381,38877.458
4,Afghanistan,Zero migration,Female,3652.874,3705.031,3760.979,3820.747,3884.348,3951.800,4023.117,4098.293,4177.332,4260.226,4346.986,4437.674,4532.368,4631.211,4734.371,4842.018,4952.723,5066.249,5185.164,5313.011,5451.443,5599.705,5753.952,5908.689,6056.668,6191.325,6315.724,6427.910,6510.968,6543.071,6511.414,6411.285,6255.676,6072.080,5898.423,5764.973,5674.753,5627.941,5647.575,5760.226,5981.147,6327.357,6785.758,7304.033,7809.326,8250.185,8603.315,8885.663,9134.964,9408.617,9746.775,10162.498,10637.846,11144.964,11642.549,12101.550,12511.526,12884.169,13239.160,13606.015,14005.472,14444.003,14912.657,15398.279,15881.092,16346.869,16800.212,17256.476,17715.451,18176.930,18640.719,19106.635,19574.529,20044.222,20515.560,20988.347,21462.322,21937.127,22412.338,22887.410,23361.867,23835.313,24307.400,24777.662,25245.621,25710.806,26172.843,26631.345,27085.877,27535.991,27981.266,28421.375,28856.019,29284.886,29707.681,30124.131,30533.993,30937.049,31333.217,31722.443,32104.660,32479.685,32847.316,33207.512,33560.206,33905.328,34242.754,34572.265,34893.517,35206.141,35509.788,35804.235,36089.350,36365.015,36631.146,36887.638,37134.328,37371.043,37597.594,37813.786,38019.438,38214.480,38398.824,38572.233,38734.447,38885.301,39024.734,39152.843,39269.831,39375.979,39471.570,39556.759,39631.648,39696.404,39751.195,39796.218,39831.682,39857.852,39875.037,39883.573,39883.797,39876.020,39860.551,39837.663,39807.692,39770.942,39727.773,39678.559,39623.691,39563.619,39498.789
4,Afghanistan,Zero migration,Total,7752.118,7839.510,7934.980,8038.596,8150.447,8270.581,8399.030,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.630,10604.346,10854.428,11126.123,11417.825,11721.940,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.370,13053.954,12749.645,12389.269,12047.115,11783.050,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.450,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.020,33736.494,34659.655,35588.458,36522.409,37461.051,38403.959,39350.735,40301.015,41254.461,42210.717,43169.352,44129.837,45091.388,46053.039,47013.656,47972.178,48927.766,49879.652,50826.875,51768.434,52703.361,53630.849,54550.073,55460.079,56359.885,57248.607,58125.543,58990.037,59841.459,60679.174,61502.655,62311.308,63104.728,63882.714,64645.178,65391.993,66122.770,66837.138,67534.873,68215.786,68879.647,69526.206,70155.054,70765.636,71357.262,71929.399,72481.638,73013.774,73525.547,74016.801,74487.343,74936.958,75365.384,75772.339,76157.534,76520.730,76861.945,77181.091,77477.866,77751.883,78002.953,78231.101,78436.705,78620.463,78783.328,78926.134,79049.369,79153.390,79238.626,79305.508,79354.522,79386.194,79401.146,79400.037,79383.577,79352.465,79307.327,79248.808,79177.500,79094.046,78999.078,78893.252,78777.308,78651.959,78517.996,78376.233
903,Africa,Zero migration,Male,113585.519,115868.050,118265.726,120780.202,123412.764,126164.255,129035.036,132025.227,135134.603,138362.793,141709.816,145176.687,148765.658,152480.865,156327.178,160309.102,164433.011,168701.505,173111.230,177656.163,182335.104,187146.378,192100.969,197224.996,202552.615,208108.888,213903.622,219932.187,226186.646,232652.562,239318.319,246180.231,253238.989,260491.736,267936.059,275567.926,283385.378,291380.838,299537.611,307834.970,316257.341,324804.720,333479.636,342273.520,351176.958,360188.160,369308.826,378555.917,387963.027,397574.175,407426.911,417540.769,427928.226,438611.670,449613.288,460953.559,472636.600,484675.262,497106.415,509974.367,523305.600,537116.503,551385.439,566051.705,581030.620,596257.147,612026.385,628003.840,644199.214,660620.263,677273.091,694161.884,711288.886,728654.788,746259.006,764100.489,782178.862,800495.360,819052.930,837855.494,856904.576,876197.797,895730.057,915495.427,935486.833,955696.144,976116.878,996740.591,1017555.244,1038546.741,1059701.739,1081010.037,1102461.602,1124043.506,1145742.243,1167544.988,1189440.299,1211417.867,1233467.658,1255579.763,1277744.605,1299952.675,1322193.588,1344455.924,1366727.667,1388998.022,1411256.640,1433495.889,1455710.887,1477898.488,1500054.069,1522169.609,1544235.112,1566242.080,1588181.165,1610042.811,1631818.416,1653498.394,1675070.919,1696523.349,1717843.744,1739022.475,1760050.650,1780918.168,1801615.181,1822132.297,1842460.819,1862592.520,1882519.629,1902234.756,1921730.705,1941000.231,1960036.647,1978833.845,1997386.309,2015688.530,2033734.814,2051519.701,2069037.764,2086283.650,2103252.426,2119939.622,2136341.010,2152452.783,2168271.257,2183793.202,2199015.238,2213934.349,2228547.677,2242852.438,2256846.075
903,Africa,Zero migration,Female,115084.487,117408.998,119847.370,122397.606,125058.742,127830.828,130715.139,133714.030,136830.585,140068.791,143432.159,146923.437,150543.526,154291.223,158164.186,162161.523,166287.462,170546.443,174938.624,179463.566,184123.808,188920.841,193864.150,198973.916,204275.611,209789.182,215521.079,221471.953,227648.107,234054.676,240693.865,247567.446,254671.480,261993.810,269517.606,277228.341,285120.232,293188.390,301419.091,309796.974,318309.736,326958.388,335741.693,344643.389,353643.784,362733.796,371911.645,381196.963,390629.182,400261.831,410139.082,420280.074,430694.402,441405.227,452435.279,463804.118,475519.486,487590.741,500038.277,512884.251,526140.763,539817.265,553899.807,568346.521,583099.167,598112.714,613634.547,629370.683,645330.543,661521.777,677950.369,694620.439,711534.219,728692.569,746095.125,763740.922,781629.825,799763.128,818143.987,836776.393,855662.024,874798.837,894181.921,913806.244,933665.239,953751.662,974059.452,994580.502,1015302.970,1036212.859,1057297.063,1078545.695,1099949.540,1121496.119,1143172.837,1164967.416,1186869.107,1208868.210,1230955.200,1253121.124,1275356.813,1297653.190,1320000.561,1342388.646,1364806.852,1387245.592,1409694.987,1432147.343,1454596.964,1477039.452,1499469.204,1521878.018,1544256.421,1566595.396,1588885.698,1611117.759,1633282.767,1655371.171,1677371.565,1699271.954,1721060.824,1742728.526,1764265.921,1785662.645,1806908.654,1827994.006,1848909.360,1869646.356,1890197.190,1910554.884,1930712.253,1950661.356,1970393.829,1989901.818,2009177.445,2028213.031,2047001.431,2065535.264,2083806.493,2101806.597,2119527.997,2136963.888,2154108.265,2170955.817,2187501.612,2203740.546,2219667.705,2235278.114,2250566.483,2265527.756,2280156.571
903,Africa,Zero migration,Total,228670.019,233277.049,238113.121,243177.791,248471.497,253995.025,259750.195,265739.281,271965.261,278431.545,285142.006,292100.079,299309.231,306772.112,314491.391,322470.634,330720.407,339247.878,348049.881,357119.794,366458.929,376067.257,385965.161,396198.875,406828.206,417898.074,429424.761,441404.179,453834.792,466707.331,480012.209,493747.699,507910.465,522485.550,537453.703,552796.228,568505.611,584569.186,600956.701,617632.012,634567.044,651763.106,669221.342,686916.862,704820.799,722921.961,741220.519,759752.789,778592.236,797836.027,817566.004,837820.928,858622.597,880016.866,902048.601,924757.708,948156.166,972265.961,997144.670,1022858.654,1049446.344,1076933.813,1105285.268,1134398.192,1164129.789,1194369.908,1225660.953,1257374.508,1289529.750,1322142.112,1355223.522,1388782.317,1422823.113,1457347.444,1492354.127,1527841.430,1563808.740,1600258.410,1637196.899,1674631.873,1712566.578,1750996.663,1789912.003,1829301.673,1869152.040,1909447.811,1950176.323,1991321.137,2032858.230,2074759.558,2116998.728,2159555.749,2202411.085,2245539.665,2288915.008,2332512.399,2376309.478,2420286.093,2464422.784,2508700.905,2553101.379,2597605.825,2642194.184,2686844.595,2731534.576,2776243.563,2820951.631,2865643.254,2910307.881,2954937.930,2999523.213,3044047.571,3088491.557,3132837.503,3177066.813,3221160.572,3265101.176,3308869.595,3352442.583,3395795.313,3438904.574,3481751.016,3524316.468,3566580.842,3608523.790,3650126.291,3691370.216,3732238.887,3772716.876,3812789.693,3852443.022,3891661.657,3930430.497,3968735.704,4006563.766,4043901.507,4080736.289,4117055.021,4152844.226,4188090.276,4222780.455,4256903.494,4290449.301,4323408.619,4355772.878,4387533.714,4418682.907,4449212.462,4479114.177,4508380.201,4537002.660
8,Albania,Zero migration,Male,648.220,661.102,676.105,692.829,710.949,730.242,750.576,771.895,794.235,817.659,842.237,867.933,894.555,921.751,949.049,976.100,1002.748,1029.038,1055.100,1081.135,1107.310,1133.637,1160.075,1186.644,1213.405,1240.384,1267.636,1295.169,1322.941,1350.881,1378.964,1406.298,1432.752,1459.844,1489.635,1523.127,1562.255,1605.284,1645.170,1672.367,1680.637,1666.384,1633.170,1590.710,1552.811,1529.234,1523.594,1532.428,1549.958,1567.205,1577.626,1579.954,1576.390,1567.933,1556.586,1544.008,1529.967,1514.262,1498.574,1485.117,1475.395,1470.170,1468.988,1470.680,1473.430,1475.867,1481.499,1487.120,1492.673,1498.111,1503.400,1508.514,1513.432,1518.135,1522.617,1526.881,1530.902,1534.653,1538.093,1541.168,1543.838,1546.089,1547.921,1549.321,1550.280,1550.792,1550.866,1550.507,1549.766,1548.707,1547.363,1545.784,1543.969,1541.969,1539.838,1537.620,1535.339,1533.004,1530.633,1528.243,1525.820,1523.408,1520.975,1518.520,1516.017,1513.451,1510.805,1508.064,1505.212,1502.238,1499.105,1495.808,1492.321,1488.639,1484.718,1480.561,1476.135,1471.437,1466.479,1461.248,1455.729,1449.930,1443.867,1437.554,1431.012,1424.250,1417.305,1410.180,1402.904,1395.502,1387.981,1380.368,1372.694,1364.985,1357.264,1349.560,1341.910,1334.322,1326.833,1319.465,1312.248,1305.208,1298.351,1291.669,1285.194,1278.898,1272.803,1266.895,1261.193,1255.682,1250.394
8,Albania,Zero migration,Female,614.944,626.391,639.986,655.265,671.930,689.723,708.512,728.252,748.989,770.821,793.821,817.969,843.090,868.781,894.554,920.028,945.045,969.657,994.053,1018.521,1043.289,1068.406,1093.774,1119.353,1145.067,1170.844,1196.696,1222.704,1248.904,1275.403,1302.285,1329.023,1355.556,1382.781,1411.955,1443.674,1478.747,1516.049,1551.896,1581.293,1600.815,1609.049,1607.420,1598.871,1587.788,1577.485,1568.635,1560.605,1553.796,1548.374,1544.339,1542.448,1542.645,1543.078,1541.164,1535.172,1524.365,1509.651,1493.068,1477.519,1465.122,1456.503,1451.041,1448.292,1447.346,1447.487,1454.375,1461.247,1468.041,1474.701,1481.186,1487.456,1493.470,1499.228,1504.702,1509.873,1514.720,1519.225,1523.318,1526.981,1530.150,1532.827,1534.998,1536.659,1537.793,1538.414,1538.523,1538.121,1537.240,1535.933,1534.219,1532.125,1529.674,1526.901,1523.843,1520.537,1516.998,1513.259,1509.339,1505.246,1501.013,1496.639,1492.158,1487.565,1482.895,1478.144,1473.331,1468.459,1463.533,1458.534,1453.466,1448.337,1443.137,1437.871,1432.525,1427.096,1421.582,1415.997,1410.324,1404.575,1398.760,1392.875,1386.922,1380.921,1374.890,1368.845,1362.804,1356.749,1350.692,1344.629,1338.548,1332.468,1326.386,1320.286,1314.181,1308.061,1301.925,1295.782,1289.631,1283.476,1277.303,1271.127,1264.959,1258.828,1252.755,1246.755,1240.858,1235.089,1229.465,1224.017,1218.765
8,Albania,Zero migration,Total,1263.174,1287.497,1316.089,1348.099,1382.878,1419.970,1459.089,1500.149,1543.222,1588.484,1636.056,1685.900,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.850,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.970,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2935.873,2948.365,2960.712,2972.816,2984.585,2995.966,3006.900,3017.364,3027.317,3036.750,3045.626,3053.871,3061.415,3068.150,3073.988,3078.920,3082.927,3085.985,3088.083,3089.213,3089.380,3088.622,3087.005,3084.633,3081.587,3077.910,3073.647,3068.869,3063.679,3058.157,3052.333,3046.266,3039.971,3033.483,3026.830,3020.043,3013.129,3006.089,2998.910,2991.597,2984.134,2976.526,2968.748,2960.772,2952.570,2944.140,2935.463,2926.503,2917.252,2907.656,2897.710,2887.430,2876.803,2865.819,2854.489,2842.807,2830.787,2818.475,2805.895,2793.102,2780.105,2766.932,2753.598,2740.123,2726.528,2712.839,2699.080,2685.267,2671.441,2657.622,2643.838,2630.109,2616.466,2602.933,2589.544,2576.330,2563.304,2550.505,2537.944,2525.654,2513.655,2501.982,2490.662,2479.706,2469.151
12,Algeria,Zero migration,Male,4511.598,4585.096,4664.468,4751.840,4848.507,4954.980,5070.902,5195.119,5325.796,5460.700,5597.839,5736.263,5876.712,6021.885,6175.649,6340.691,6518.256,6707.251,6905.215,7108.505,7314.624,7522.985,7734.882,7951.996,8176.841,8411.397,8655.587,8909.279,9174.199,9452.443,9745.233,10052.656,10373.303,10704.894,11044.258,11388.513,11736.346,12086.384,12435.510,12780.129,13117.245,13445.733,13764.643,14071.495,14363.650,14639.457,14898.762,15142.747,15373.099,15592.325,15803.151,16006.517,16204.844,16404.308,16612.538,16835.565,17074.632,17330.069,17605.577,17905.071,18230.400,18583.564,18961.440,19354.168,19748.270,20133.472,20508.930,20874.377,21229.977,21575.832,21911.962,22238.321,22554.794,22861.220,23157.450,23443.450,23719.431,23985.984,24244.096,24495.039,24739.952,24979.389,25213.878,25444.564,25672.700,25899.310,26124.906,26349.748,26574.289,26798.881,27023.729,27248.900,27474.177,27699.120,27923.068,28145.327,28365.595,28583.350,28797.320,29005.997,29208.137,29403.173,29590.819,29770.437,29941.448,30103.420,30256.093,30399.464,30533.856,30659.767,30777.692,30887.806,30990.358,31086.045,31175.700,31260.050,31339.530,31414.416,31485.143,31552.111,31615.696,31676.197,31733.887,31789.005,31841.760,31892.318,31940.824,31987.382,32032.063,32074.931,32116.007,32155.270,32192.665,32228.025,32261.147,32291.813,32319.895,32345.246,32367.574,32386.526,32401.803,32413.179,32420.488,32423.606,32422.406,32416.766,32406.503,32391.422,32371.278,32345.799,32314.683
