Location,Variant,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Gross Domestic Product (GDP),157.187422506743,160.372836504082,136.11701491438,144.110319843264,174.94203852968,187.975603797374,199.02617304863,226.005343006637,249.287385819297,277.900737623219,274.88086785191,266.493042327827,269.723948686728,274.385761694002,278.941959444171,281.921913386693,286.232933009294,251.026687652081,230.857451425511,283.775764823496,295.662201132052,257.056193275695,248.518889846771,176.507619568925,130.751050595233,189.262390166143,175.300440225496,164.092893037794,154.365999966844,140.179220417387,175.769495330109,172.681737005666,194.959344303333,213.985766773368,231.642645233113,264.12537117563,290.199323502468,389.985586406749,394.536100939982,448.951917911206,558.199764560644,645.283463513032,694.88561837611,681.034214773945,651.158425556327,610.854544665644,583.883061294723,618.98998960411
Albania,Gross Domestic Product (GDP),1053.46376031225,1058.37775503114,1063.74995270303,1069.61849607308,1075.70727918988,1082.48132757196,1089.84557211354,1096.46018407608,1105.14840515582,903.292954698795,798.823622692984,809.948187637705,817.850817836769,811.005776805414,784.306112496667,783.475806721108,788.254312751382,761.915670039093,769.580360300412,903.779159992991,654.227007073859,487.591462619652,467.844654714254,533.157338654174,598.915435142307,770.186101129591,1034.73677353347,719.244989372782,823.153098387938,1034.05282530219,1117.11076724643,1257.6471737573,1396.54549179024,1787.67294190563,2316.85491580236,2615.00851834044,2912.61032417602,3530.96911389282,4305.76696886551,4065.37257766331,4056.06083418345,4404.63803526293,4219.04628955175,4376.97054850778,4529.01715429799,3895.16036821302,4060.92630195869,4450.00810706122
Algeria,Gross Domestic Product (GDP),354.302997380353,358.531890401615,466.696038319064,583.989638849454,816.130511922058,930.962649906733,1032.56461341908,1186.58681788786,1448.12702050891,1769.72741187172,2184.96330828195,2219.48048873946,2191.65523304553,2294.21230616454,2412.91024742032,2564.32025568338,2707.37349781179,2689.76734542341,2385.19156066245,2191.19469669512,2383.0851097786,1753.5748389361,1806.60695978282,1829.93077057773,1492.50171157049,1452.08468373395,1592.45281122969,1608.34864564165,1584.89691214068,1577.44400402462,1753.06224018011,1742.73443969786,1775.87526803228,2094.33617681175,2599.13704423968,3100.12200534784,3464.60928506993,3935.18336217152,4905.25487313579,3868.83034286615,4463.39568007883,5432.41456111444,5565.13694787676,5471.12338878709,5466.42467948878,4162.85080246738,3943.49884091007,4055.24658024295
Andorra,Gross Domestic Product (GDP),4097.74207074514,4426.1704924865,5336.3827321831,6760.54803641028,7996.45894849904,9070.65029190927,9050.20506518773,9807.15073910684,11552.4773544194,14956.1242193424,15660.0952989494,13125.0660929845,12160.7191284532,10150.8986593252,9779.6489760499,9837.27588134743,13110.9473977602,15963.1306818393,18099.6644000623,19191.4413840846,23886.0772402792,24714.173303861,25999.0835976158,20900.0575531769,20542.2206914698,23359.3733474974,24064.4444218575,23223.5466842128,23908.1379066504,24371.6177102676,21936.5132593594,22228.6475788199,24742.6190111226,32775.1783662717,38505.1529201129,41280.9933593032,43746.5311393438,48580.314940427,47787.4292407037,43336.7693258529,39733.9883383787,41101.3234275198,38391.3964916685,40621.9127202936,42293.2699607692,36039.9078602731,37230.368960627,39152.8120739519
Angola,Gross Domestic Product (GDP),561.801657831987,578.502925576995,578.188935317036,689.242073463717,752.837328890027,539.856096304402,503.84866884107,534.280068741796,578.485733172437,622.593564649856,800.822227402305,723.99935461365,698.487595246975,702.307860742645,719.409552348308,858.609575051963,782.756619520992,877.477551698393,923.008604458247,1045.64369860506,1122.45151178178,1289.12344107743,1433.1854241548,1004.80462054121,1001.40267334694,465.500879860342,594.306297471383,677.765493660951,555.831465400237,515.818858464094,742.498084233478,703.551439147393,869.851334627312,978.538922957364,1248.40542478763,1890.84882288979,2585.13436022927,3108.26679271862,4068.98094214607,3117.89825405081,3585.9047589388,4615.86993152419,5102.49235191986,5258.40849443955,5412.69141951896,4170.73030045387,3509.60347979439,4247.41104936997
Anguilla,Gross Domestic Product (GDP),609.461122836485,711.498753290242,833.21757004654,934.870872040232,1023.30046601735,1111.99991962824,1059.88260886025,1179.8198273045,1356.86468701523,1564.75175309378,1808.7927318545,2103.52865497076,2450.28345589062,2848.93040616699,3300.67008094786,4071.81782803518,5100.29564983165,6078.49550871232,7227.73875539125,8553.15835483946,9071.48552560239,8968.39265413579,9403.23081237345,9939.68095226675,10775.9104307201,10583.1946994944,10890.9640013846,11906.5229113419,13143.4873734182,13647.8331634701,13546.4552176386,13623.1289326611,13465.9976432128,14123.4321418998,16303.9204209477,18129.0117400198,22030.8260209368,27017.343895226,26521.3994510978,20825.9515091944,19458.9835190699,20960.2058793077,19825.3054788811,19707.7132303994,21530.5393283179,22622.3296501621,21479.6941509377,18860.6937892349
Antigua and Barbuda,Gross Domestic Product (GDP),504.721794734077,603.567447549836,815.391020680608,1118.37880061035,1178.49685740932,1192.81921804977,982.235275983532,1109.07218092878,1247.93489373395,1532.51071398349,1830.69115260518,2081.66148109624,2326.16328646447,2613.95373821315,2996.4575363628,3507.76503438752,4220.96151289425,4969.78203039062,5944.67069965966,6585.84040281745,6889.00472125598,7156.85355493815,7296.55171312602,7652.10282546552,8218.59771649953,7841.46384312021,8379.57696933724,8755.15664714741,9115.234346192,9363.18644523469,9932.02968138506,9414.16059122009,9443.06359056527,9801.96693468697,10419.3111321775,11452.7387771176,12812.7644376195,14350.918887831,14797.3684912448,13082.2818061754,12174.6978007682,11931.2039987417,12517.5579367458,12194.5495917082,12900.9030032308,13602.4212384277,14506.6035412313,14803.0109275452
Argentina,Gross Domestic Product (GDP),1417.61336753494,1668.53464740041,1529.60697615551,1644.68478647304,1857.58955700992,1984.91436881923,2061.21945912094,2294.08509540426,2341.29187832061,2672.51335726776,2911.60302451227,2964.78449601612,3001.83398833016,3197.80992809879,3325.10214414296,3143.59119457714,3718.24660581289,3764.20728970783,4324.88936130065,2573.93964206308,4680.32217434962,6193.59008250004,7366.75998789544,7521.7290371615,8081.08290650317,7992.65357922299,8329.57135559281,8861.2171041535,8943.73300780593,8388.16829361946,8315.41881149123,7774.83282757938,2918.5914233331,3666.05106481742,4284.87833489807,5125.04036064558,5925.12161406495,7249.27492792694,9054.55040438535,8244.22251078991,10345.6380564794,12726.7858132525,13811.7801569541,14417.4214542443,13192.8840885039,14853.4407632128,12654.3763602203,14399.6210685905
Armenia,Gross Domestic Product (GDP),651.63599844827,600.25994824283,364.071165967386,347.950377450784,383.342784047238,426.469126843235,537.538520907784,557.761578361696,649.10196268801,637.114601384226,664.106975536407,740.532183494786,835.283238215122,991.962502960802,1271.13292009461,1752.94124042987,2301.34349079788,3347.29606674131,4276.38355600672,3192.69121006635,3432.155154269,3761.24950424012,3684.80503386584,3843.59075078149,3994.71245847711,3617.93569576939,3605.7434862211,3936.79858189399
Aruba,Gross Domestic Product (GDP),2990.53592712336,3129.97719873381,3274.79286477161,3426.2912485625,3591.94758379519,3775.38142626876,3981.30022294363,4208.81906219362,4452.5822570695,4699.55879147798,4940.52872945187,5163.43102375291,5369.70860382551,5578.12149636711,5816.10517722645,6107.6829425898,6472.50203241229,7885.79654135978,9764.789981214,11392.4558121722,12307.3117398258,13496.0033847027,14046.5039935517,14936.8270415595,17342.4719395745,16441.7906361916,16585.1955307263,17926.5728361165,19081.351656125,19356.2033894901,20620.7006259175,20670.688841044,20434.296825231,20834.5504902873,22567.7683443568,23302.8319880055,24045.7494206858,25835.6431424885,27086.0398473459,24630.9392680773,23512.6025956397,24984.2794468664,24709.6022647219,25018.3089518065,25528.4037804428,25796.3802506382,25251.6396777554,25655.1020217537
